Cer,[M+Cl]-,[M-H]-,[M-H-H2CO]-,[M-H2O-R1]-,[M-H2O-R2+amide]-,[R2+amide]-
Cer(d14:1/13:0),474.371888,438.39521,408.3847,238.2177,207.1752,212.202
Cer(d14:1/14:0),488.387488,452.41081,422.4003,252.2333,207.1752,226.2176
Cer(d14:1/14:1),486.371888,450.39521,420.3847,250.2177,207.1752,224.202
Cer(d14:1/15:0),502.403188,466.42651,436.416,266.249,207.1752,240.2333
Cer(d14:1/15:1),500.387488,464.41081,434.4003,264.2333,207.1752,238.2176
Cer(d14:1/16:0),516.418788,480.44211,450.4316,280.2646,207.1752,254.2489
Cer(d14:1/16:1),514.403188,478.42651,448.416,278.249,207.1752,252.2333
Cer(d14:1/17:0),530.434488,494.45781,464.4473,294.2803,207.1752,268.2646
Cer(d14:1/17:1),528.418788,492.44211,462.4316,292.2646,207.1752,266.2489
Cer(d14:1/17:2),526.403188,490.42651,460.416,290.249,207.1752,264.2333
Cer(d14:1/18:0),544.450088,508.47341,478.4629,308.2959,207.1752,282.2802
Cer(d14:1/18:1),542.434488,506.45781,476.4473,306.2803,207.1752,280.2646
Cer(d14:1/18:2),540.418788,504.44211,474.4316,304.2646,207.1752,278.2489
Cer(d14:1/18:3),538.403188,502.42651,472.416,302.249,207.1752,276.2333
Cer(d14:1/18:4),536.387488,500.41081,470.4003,300.2333,207.1752,274.2176
Cer(d14:1/19:0),558.465788,522.48911,492.4786,322.3116,207.1752,296.2959
Cer(d14:1/20:0),572.481388,536.50471,506.4942,336.3272,207.1752,310.3115
Cer(d14:1/20:1),570.465788,534.48911,504.4786,334.3116,207.1752,308.2959
Cer(d14:1/20:2),568.450088,532.47341,502.4629,332.2959,207.1752,306.2802
Cer(d14:1/20:3),566.434488,530.45781,500.4473,330.2803,207.1752,304.2646
Cer(d14:1/20:4),564.418788,528.44211,498.4316,328.2646,207.1752,302.2489
Cer(d14:1/20:5),562.403188,526.42651,496.416,326.249,207.1752,300.2333
Cer(d14:1/21:0),586.497088,550.52041,520.5099,350.3429,207.1752,324.3272
Cer(d14:1/22:0),600.512688,564.53601,534.5255,364.3585,207.1752,338.3428
Cer(d14:1/22:1),598.497088,562.52041,532.5099,362.3429,207.1752,336.3272
Cer(d14:1/22:2),596.481388,560.50471,530.4942,360.3272,207.1752,334.3115
Cer(d14:1/22:3),594.465788,558.48911,528.4786,358.3116,207.1752,332.2959
Cer(d14:1/22:4),592.450088,556.47341,526.4629,356.2959,207.1752,330.2802
Cer(d14:1/22:5),590.434488,554.45781,524.4473,354.2803,207.1752,328.2646
Cer(d14:1/22:6),588.418788,552.44211,522.4316,352.2646,207.1752,326.2489
Cer(d14:1/23:0),614.528388,578.55171,548.5412,378.3742,207.1752,352.3585
Cer(d14:1/24:0),628.543988,592.56731,562.5568,392.3898,207.1752,366.3741
Cer(d14:1/24:1),626.528388,590.55171,560.5412,390.3742,207.1752,364.3585
Cer(d14:1/25:0),642.559688,606.58301,576.5725,406.4055,207.1752,380.3898
Cer(d14:1/26:0),656.575288,620.59861,590.5881,420.4211,207.1752,394.4054
Cer(d14:1/8:0),404.293588,368.31691,338.3064,168.1394,207.1752,142.1237
Cer(d15:0/10:0),448.356188,412.37951,382.369,196.1707,223.2065,170.155
Cer(d15:0/12:0),476.387488,440.41081,410.4003,224.202,223.2065,198.1863
Cer(d15:0/13:0),490.403188,454.42651,424.416,238.2177,223.2065,212.202
Cer(d15:0/14:0),504.418788,468.44211,438.4316,252.2333,223.2065,226.2176
Cer(d15:0/14:1),502.403188,466.42651,436.416,250.2177,223.2065,224.202
Cer(d15:0/15:0),518.434488,482.45781,452.4473,266.249,223.2065,240.2333
Cer(d15:0/15:1),516.418788,480.44211,450.4316,264.2333,223.2065,238.2176
Cer(d15:0/16:0),532.450088,496.47341,466.4629,280.2646,223.2065,254.2489
Cer(d15:0/16:1),530.434488,494.45781,464.4473,278.249,223.2065,252.2333
Cer(d15:0/17:0),546.465788,510.48911,480.4786,294.2803,223.2065,268.2646
Cer(d15:0/17:1),544.450088,508.47341,478.4629,292.2646,223.2065,266.2489
Cer(d15:0/17:2),542.434488,506.45781,476.4473,290.249,223.2065,264.2333
Cer(d15:0/18:0),560.481388,524.50471,494.4942,308.2959,223.2065,282.2802
