Cer,[M+H2PO4]-,[M-H]-,[M-H-H2CO]-,[M-H2O-R1]-,[M-H2O-R2+amide]-,[R2+amide]-
Cer(d14:1/21:0),648.497306,550.52041,520.5099,350.3429,207.1752,324.3272
Cer(d14:1/22:0),662.512906,564.53601,534.5255,364.3585,207.1752,338.3428
Cer(d14:1/22:1),660.497306,562.52041,532.5099,362.3429,207.1752,336.3272
Cer(d14:1/22:2),658.481606,560.50471,530.4942,360.3272,207.1752,334.3115
Cer(d14:1/22:3),656.466006,558.48911,528.4786,358.3116,207.1752,332.2959
Cer(d14:1/22:4),654.450306,556.47341,526.4629,356.2959,207.1752,330.2802
Cer(d14:1/22:5),652.434706,554.45781,524.4473,354.2803,207.1752,328.2646
Cer(d14:1/22:6),650.419006,552.44211,522.4316,352.2646,207.1752,326.2489
Cer(d14:1/23:0),676.528606,578.55171,548.5412,378.3742,207.1752,352.3585
Cer(d14:1/24:0),690.544206,592.56731,562.5568,392.3898,207.1752,366.3741
Cer(d14:1/24:1),688.528606,590.55171,560.5412,390.3742,207.1752,364.3585
Cer(d14:1/25:0),704.559906,606.58301,576.5725,406.4055,207.1752,380.3898
Cer(d14:1/26:0),718.575506,620.59861,590.5881,420.4211,207.1752,394.4054
Cer(d14:1/8:0),466.293806,368.31691,338.3064,168.1394,207.1752,142.1237
Cer(d15:0/10:0),510.356406,412.37951,382.369,196.1707,223.2065,170.155
Cer(d15:0/12:0),538.387706,440.41081,410.4003,224.202,223.2065,198.1863
Cer(d15:0/13:0),552.403406,454.42651,424.416,238.2177,223.2065,212.202
Cer(d15:0/14:0),566.419006,468.44211,438.4316,252.2333,223.2065,226.2176
Cer(d15:0/14:1),564.403406,466.42651,436.416,250.2177,223.2065,224.202
Cer(d15:0/15:0),580.434706,482.45781,452.4473,266.249,223.2065,240.2333
Cer(d15:0/15:1),578.419006,480.44211,450.4316,264.2333,223.2065,238.2176
Cer(d15:0/16:0),594.450306,496.47341,466.4629,280.2646,223.2065,254.2489
Cer(d15:0/16:1),592.434706,494.45781,464.4473,278.249,223.2065,252.2333
Cer(d15:0/17:0),608.466006,510.48911,480.4786,294.2803,223.2065,268.2646
Cer(d15:0/17:1),606.450306,508.47341,478.4629,292.2646,223.2065,266.2489
Cer(d15:0/17:2),604.434706,506.45781,476.4473,290.249,223.2065,264.2333
Cer(d15:0/18:0),622.481606,524.50471,494.4942,308.2959,223.2065,282.2802
Cer(d15:0/18:1),620.466006,522.48911,492.4786,306.2803,223.2065,280.2646
Cer(d15:0/18:2),618.450306,520.47341,490.4629,304.2646,223.2065,278.2489
Cer(d15:0/18:3),616.434706,518.45781,488.4473,302.249,223.2065,276.2333
Cer(d15:0/18:4),614.419006,516.44211,486.4316,300.2333,223.2065,274.2176
Cer(d15:0/19:0),636.497306,538.52041,508.5099,322.3116,223.2065,296.2959
Cer(d15:0/20:0),650.512906,552.53601,522.5255,336.3272,223.2065,310.3115
Cer(d15:0/20:1),648.497306,550.52041,520.5099,334.3116,223.2065,308.2959
Cer(d15:0/20:2),646.481606,548.50471,518.4942,332.2959,223.2065,306.2802
Cer(d15:0/20:3),644.466006,546.48911,516.4786,330.2803,223.2065,304.2646
Cer(d15:0/20:4),642.450306,544.47341,514.4629,328.2646,223.2065,302.2489
Cer(d15:0/20:5),640.434706,542.45781,512.4473,326.249,223.2065,300.2333
Cer(d15:0/21:0),664.528606,566.55171,536.5412,350.3429,223.2065,324.3272
Cer(d15:0/22:0),678.544206,580.56731,550.5568,364.3585,223.2065,338.3428
Cer(d15:0/22:1),676.528606,578.55171,548.5412,362.3429,223.2065,336.3272
Cer(d15:0/22:2),674.512906,576.53601,546.5255,360.3272,223.2065,334.3115
Cer(d15:0/22:3),672.497306,574.52041,544.5099,358.3116,223.2065,332.2959
Cer(d15:0/22:4),670.481606,572.50471,542.4942,356.2959,223.2065,330.2802
Cer(d15:0/22:5),668.466006,570.48911,540.4786,354.2803,223.2065,328.2646
Cer(d15:0/22:6),666.450306,568.47341,538.4629,352.2646,223.2065,326.2489
Cer(d15:0/23:0),692.559906,594.58301,564.5725,378.3742,223.2065,352.3585
Cer(d15:0/24:0),706.575506,608.59861,578.5881,392.3898,223.2065,366.3741
Cer(d15:0/24:1),704.559906,606.58301,576.5725,390.3742,223.2065,364.3585
Cer(d15:0/25:0),720.591206,622.61431,592.6038,406.4055,223.2065,380.3898
Cer(d15:0/26:0),734.606806,636.62991,606.6194,420.4211,223.2065,394.4054
Cer(d15:0/8:0),482.325106,384.34821,354.3377,168.1394,223.2065,142.1237
Cer(d15:1/10:0),508.340706,410.36381,380.3533,196.1707,221.1908,170.155
Cer(d15:1/12:0),536.372006,438.39511,408.3846,224.202,221.1908,198.1863
Cer(d15:1/13:0),550.387706,452.41081,422.4003,238.2177,221.1908,212.202
Cer(d15:1/14:0),564.403306,466.42641,436.4159,252.2333,221.1908,226.2176
Cer(d15:1/14:1),562.387706,464.41081,434.4003,250.2177,221.1908,224.202
Cer(d15:1/15:0),578.419006,480.44211,450.4316,266.249,221.1908,240.2333
