PG,[M-H]-,[M-Glycerol]-,[M-T1RCH=C=O]-,[M-T2RCH=C=O]-,[M-T1RCOOH]-,[M-T2RCOOH]-,[M-T1RCH=C=O-Glycerol]-,[M-T2RCH=C=O-Glycerol]-,[M-T1RCOOH-Glycerol]-,[M-T2RCOOH-Glycerol]-,[T1_RCOO]-,[T2_RCOO]-, [Glycerol-3-phosphate-H2O]-,[H2PO4]-,[PO3]-,[Glycerophosphoglycerol]-,[Glycerophosphoglycerol-H2O]-,[Glycerophosphoglycerol-2H2O]-
PG(10:0_18:0),665.43996,591.40318,511.30419,399.17899,493.29363,381.16843,437.26741,325.14221,419.25685,307.13165,171.13905,283.26425,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_18:1),663.42436,589.38758,509.28859,399.17899,491.27803,381.16843,435.25181,325.14221,417.24125,307.13165,171.13905,281.24865,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_18:2),661.40866,587.37188,507.27289,399.17899,489.26233,381.16843,433.23611,325.14221,415.22555,307.13165,171.13905,279.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_18:3),659.39306,585.35628,505.25729,399.17899,487.24673,381.16843,431.22051,325.14221,413.20995,307.13165,171.13905,277.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_18:4),657.37736,583.34058,503.24159,399.17899,485.23103,381.16843,429.20481,325.14221,411.19425,307.13165,171.13905,275.20165,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_19:0),679.45566,605.41888,525.31989,399.17899,507.30933,381.16843,451.28311,325.14221,433.27255,307.13165,171.13905,297.27995,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_20:0),693.47126,619.43448,539.33549,399.17899,521.32493,381.16843,465.29871,325.14221,447.28815,307.13165,171.13905,311.29555,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_20:1),691.45566,617.41888,537.31989,399.17899,519.30933,381.16843,463.28311,325.14221,445.27255,307.13165,171.13905,309.27995,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_20:2),689.43996,615.40318,535.30419,399.17899,517.29363,381.16843,461.26741,325.14221,443.25685,307.13165,171.13905,307.26425,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_20:3),687.42436,613.38758,533.28859,399.17899,515.27803,381.16843,459.25181,325.14221,441.24125,307.13165,171.13905,305.24865,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_20:4),685.40866,611.37188,531.27289,399.17899,513.26233,381.16843,457.23611,325.14221,439.22555,307.13165,171.13905,303.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
