Cer,[M+CH3COO]-,[M-H]-,[M-H-H2CO]-,[M-H2O-R1]-,[M-H2O-R2]-,[R2+amide]-
Cer(d15:1/15:0),540.463237,480.44211,450.4316,266.249,221.1908,240.2333
Cer(d15:1/15:1),538.447537,478.42641,448.4159,264.2333,221.1908,238.2176
Cer(d15:1/16:0),554.478837,494.45771,464.4472,280.2646,221.1908,254.2489
Cer(d15:1/16:1),552.463237,492.44211,462.4316,278.249,221.1908,252.2333
Cer(d15:1/17:0),568.494537,508.47341,478.4629,294.2803,221.1908,268.2646
Cer(d15:1/17:1),566.478837,506.45771,476.4472,292.2646,221.1908,266.2489
Cer(d15:1/17:2),564.463237,504.44211,474.4316,290.249,221.1908,264.2333
Cer(d15:1/18:0),582.510137,522.48901,492.4785,308.2959,221.1908,282.2802
Cer(d15:1/18:1),580.494537,520.47341,490.4629,306.2803,221.1908,280.2646
Cer(d15:1/18:2),578.478837,518.45771,488.4472,304.2646,221.1908,278.2489
Cer(d15:1/18:3),576.463237,516.44211,486.4316,302.249,221.1908,276.2333
Cer(d15:1/18:4),574.447537,514.42641,484.4159,300.2333,221.1908,274.2176
Cer(d15:1/19:0),596.525837,536.50471,506.4942,322.3116,221.1908,296.2959
Cer(d15:1/20:0),610.541437,550.52031,520.5098,336.3272,221.1908,310.3115
Cer(d15:1/20:1),608.525837,548.50471,518.4942,334.3116,221.1908,308.2959
Cer(d15:1/20:2),606.510137,546.48901,516.4785,332.2959,221.1908,306.2802
Cer(d15:1/20:3),604.494537,544.47341,514.4629,330.2803,221.1908,304.2646
Cer(d15:1/20:4),602.478837,542.45771,512.4472,328.2646,221.1908,302.2489
Cer(d15:1/20:5),600.463237,540.44211,510.4316,326.249,221.1908,300.2333
Cer(d15:1/21:0),624.557137,564.53601,534.5255,350.3429,221.1908,324.3272
Cer(d15:1/22:0),638.572737,578.55161,548.5411,364.3585,221.1908,338.3428
Cer(d15:1/22:1),636.557137,576.53601,546.5255,362.3429,221.1908,336.3272
Cer(d15:1/22:2),634.541437,574.52031,544.5098,360.3272,221.1908,334.3115
Cer(d15:1/22:3),632.525837,572.50471,542.4942,358.3116,221.1908,332.2959
Cer(d15:1/22:4),630.510137,570.48901,540.4785,356.2959,221.1908,330.2802
Cer(d15:1/22:5),628.494537,568.47341,538.4629,354.2803,221.1908,328.2646
Cer(d15:1/22:6),626.478837,566.45771,536.4472,352.2646,221.1908,326.2489
Cer(d15:1/23:0),652.588437,592.56731,562.5568,378.3742,221.1908,352.3585
Cer(d15:1/24:0),666.604037,606.58291,576.5724,392.3898,221.1908,366.3741
Cer(d15:1/24:1),664.588437,604.56731,574.5568,390.3742,221.1908,364.3585
Cer(d15:1/25:0),680.619737,620.59861,590.5881,406.4055,221.1908,380.3898
Cer(d15:1/26:0),694.635337,634.61421,604.6037,420.4211,221.1908,394.4054
Cer(d15:1/8:0),442.353637,382.33251,352.322,168.1394,221.1908,142.1237
Cer(d16:0/10:0),486.416237,426.39511,396.3846,196.1707,237.2221,170.155
Cer(d16:0/12:0),514.447537,454.42641,424.4159,224.202,237.2221,198.1863
Cer(d16:0/13:0),528.463237,468.44211,438.4316,238.2177,237.2221,212.202
Cer(d16:0/14:0),542.478837,482.45771,452.4472,252.2333,237.2221,226.2176
Cer(d16:0/14:1),540.463237,480.44211,450.4316,250.2177,237.2221,224.202
Cer(d16:0/15:0),556.494537,496.47341,466.4629,266.249,237.2221,240.2333
Cer(d16:0/15:1),554.478837,494.45771,464.4472,264.2333,237.2221,238.2176
Cer(d16:0/16:0),570.510137,510.48901,480.4785,280.2646,237.2221,254.2489
Cer(d16:0/16:1),568.494537,508.47341,478.4629,278.249,237.2221,252.2333
Cer(d16:0/17:0),584.525837,524.50471,494.4942,294.2803,237.2221,268.2646
Cer(d16:0/17:1),582.510137,522.48901,492.4785,292.2646,237.2221,266.2489
Cer(d16:0/17:2),580.494537,520.47341,490.4629,290.249,237.2221,264.2333
Cer(d16:0/18:0),598.541437,538.52031,508.5098,308.2959,237.2221,282.2802
Cer(d16:0/18:1),596.525837,536.50471,506.4942,306.2803,237.2221,280.2646
Cer(d16:0/18:2),594.510137,534.48901,504.4785,304.2646,237.2221,278.2489
Cer(d16:0/18:3),592.494537,532.47341,502.4629,302.249,237.2221,276.2333
Cer(d16:0/18:4),590.478837,530.45771,500.4472,300.2333,237.2221,274.2176
Cer(d16:0/19:0),612.557137,552.53601,522.5255,322.3116,237.2221,296.2959
Cer(d16:0/20:0),626.572737,566.55161,536.5411,336.3272,237.2221,310.3115
Cer(d16:0/20:1),624.557137,564.53601,534.5255,334.3116,237.2221,308.2959
Cer(d16:0/20:2),622.541437,562.52031,532.5098,332.2959,237.2221,306.2802
Cer(d16:0/20:3),620.525837,560.50471,530.4942,330.2803,237.2221,304.2646
Cer(d16:0/20:4),618.510137,558.48901,528.4785,328.2646,237.2221,302.2489
Cer(d16:0/20:5),616.494537,556.47341,526.4629,326.249,237.2221,300.2333
Cer(d16:0/21:0),640.588437,580.56731,550.5568,350.3429,237.2221,324.3272
Cer(d16:0/22:0),654.604037,594.58291,564.5724,364.3585,237.2221,338.3428
Cer(d16:0/22:1),652.588437,592.56731,562.5568,362.3429,237.2221,336.3272
Cer(d16:0/22:2),650.572737,590.55161,560.5411,360.3272,237.2221,334.3115
Cer(d16:0/22:3),648.557137,588.53601,558.5255,358.3116,237.2221,332.2959
Cer(d16:0/22:4),646.541437,586.52031,556.5098,356.2959,237.2221,330.2802
Cer(d16:0/22:5),644.525837,584.50471,554.4942,354.2803,237.2221,328.2646
Cer(d16:0/22:6),642.510137,582.48901,552.4785,352.2646,237.2221,326.2489
Cer(d16:0/23:0),668.619737,608.59861,578.5881,378.3742,237.2221,352.3585
Cer(d16:0/24:0),682.635337,622.61421,592.6037,392.3898,237.2221,366.3741
Cer(d16:0/24:1),680.619737,620.59861,590.5881,390.3742,237.2221,364.3585
Cer(d16:0/25:0),696.651037,636.62991,606.6194,406.4055,237.2221,380.3898
Cer(d16:0/26:0),710.666637,650.64551,620.635,420.4211,237.2221,394.4054
Cer(d16:0/8:0),458.384937,398.36381,368.3533,168.1394,237.2221,142.1237
Cer(d16:1/10:0),484.400637,424.37951,394.369,196.1707,235.2065,170.155
Cer(d16:1/12:0),512.431937,452.41081,422.4003,224.202,235.2065,198.1863
Cer(d16:1/13:0),526.447637,466.42651,436.416,238.2177,235.2065,212.202
Cer(d16:1/14:0),540.463237,480.44211,450.4316,252.2333,235.2065,226.2176
Cer(d16:1/14:1),538.447637,478.42651,448.416,250.2177,235.2065,224.202
Cer(d16:1/15:0),554.478937,494.45781,464.4473,266.249,235.2065,240.2333
Cer(d16:1/15:1),552.463237,492.44211,462.4316,264.2333,235.2065,238.2176
Cer(d16:1/16:0),568.494537,508.47341,478.4629,280.2646,235.2065,254.2489
Cer(d16:1/16:1),566.478937,506.45781,476.4473,278.249,235.2065,252.2333
Cer(d16:1/17:0),582.510237,522.48911,492.4786,294.2803,235.2065,268.2646
Cer(d16:1/17:1),580.494537,520.47341,490.4629,292.2646,235.2065,266.2489
Cer(d16:1/17:2),578.478937,518.45781,488.4473,290.249,235.2065,264.2333
Cer(d16:1/18:0),596.525837,536.50471,506.4942,308.2959,235.2065,282.2802
Cer(d16:1/18:1),594.510237,534.48911,504.4786,306.2803,235.2065,280.2646
Cer(d16:1/18:2),592.494537,532.47341,502.4629,304.2646,235.2065,278.2489
Cer(d16:1/18:3),590.478937,530.45781,500.4473,302.249,235.2065,276.2333
Cer(d16:1/18:4),588.463237,528.44211,498.4316,300.2333,235.2065,274.2176
