SM,[M+H2PO4]-,[M-CH3]-,[T2-H]-,[PC-CH3-H]-
SM(d14:0/14:0)+H2PO4,717.458917,605.4617,227.2016,168.0431
SM(d14:0/14:1)+H2PO4,715.443317,603.4461,225.186,168.0431
SM(d14:0/15:0)+H2PO4,731.474617,619.4774,241.2173,168.0431
SM(d14:0/15:1)+H2PO4,729.458917,617.4617,239.2016,168.0431
SM(d14:0/16:0)+H2PO4,745.490217,633.493,255.2329,168.0431
SM(d14:0/16:1)+H2PO4,743.474617,631.4774,253.2173,168.0431
SM(d14:0/17:0)+H2PO4,759.505917,647.5087,269.2486,168.0431
SM(d14:0/17:1)+H2PO4,757.490217,645.493,267.2329,168.0431
SM(d14:0/17:2)+H2PO4,755.474617,643.4774,265.2173,168.0431
SM(d14:0/18:0)+H2PO4,773.521517,661.5243,283.2642,168.0431
SM(d14:0/18:1)+H2PO4,771.505917,659.5087,281.2486,168.0431
SM(d14:0/18:2)+H2PO4,769.490217,657.493,279.2329,168.0431
SM(d14:0/18:3)+H2PO4,767.474617,655.4774,277.2173,168.0431
SM(d14:0/18:4)+H2PO4,765.458917,653.4617,275.2016,168.0431
SM(d14:0/19:0)+H2PO4,787.537217,675.54,297.2799,168.0431
SM(d14:0/20:0)+H2PO4,801.552817,689.5556,311.2955,168.0431
SM(d14:0/20:1)+H2PO4,799.537217,687.54,309.2799,168.0431
SM(d14:0/20:2)+H2PO4,797.521517,685.5243,307.2642,168.0431
SM(d14:0/20:3)+H2PO4,795.505917,683.5087,305.2486,168.0431
SM(d14:0/20:4)+H2PO4,793.490217,681.493,303.2329,168.0431
SM(d14:0/20:5)+H2PO4,791.474617,679.4774,301.2173,168.0431
SM(d14:0/21:0)+H2PO4,815.568517,703.5713,325.3112,168.0431
SM(d14:0/22:0)+H2PO4,829.584117,717.5869,339.3268,168.0431
SM(d14:0/22:1)+H2PO4,827.568517,715.5713,337.3112,168.0431
SM(d14:0/22:2)+H2PO4,825.552817,713.5556,335.2955,168.0431
SM(d14:0/22:3)+H2PO4,823.537217,711.54,333.2799,168.0431
SM(d14:0/22:4)+H2PO4,821.521517,709.5243,331.2642,168.0431
SM(d14:0/22:5)+H2PO4,819.505917,707.5087,329.2486,168.0431
SM(d14:0/22:6)+H2PO4,817.490217,705.493,327.2329,168.0431
SM(d14:0/23:0)+H2PO4,843.599817,731.6026,353.3425,168.0431
SM(d14:0/24:0)+H2PO4,857.615417,745.6182,367.3581,168.0431
SM(d14:0/24:1)+H2PO4,855.599817,743.6026,365.3425,168.0431
SM(d14:0/25:0)+H2PO4,871.631117,759.6339,381.3738,168.0431
SM(d14:0/26:0)+H2PO4,885.646717,773.6495,395.3894,168.0431
SM(d14:0/8:0)+H2PO4,633.365017,521.3678,143.1077,168.0431
SM(d14:1/10:0)+H2PO4,659.380717,547.3835,171.139,168.0431
SM(d14:1/12:0)+H2PO4,687.412017,575.4148,199.1703,168.0431
SM(d14:1/13:0)+H2PO4,701.427717,589.4305,213.186,168.0431
SM(d14:1/14:0)+H2PO4,715.443317,603.4461,227.2016,168.0431
SM(d14:1/14:1)+H2PO4,713.427717,601.4305,225.186,168.0431
SM(d14:1/15:0)+H2PO4,729.459017,617.4618,241.2173,168.0431
SM(d14:1/15:1)+H2PO4,727.443317,615.4461,239.2016,168.0431
SM(d14:1/16:0)+H2PO4,743.474617,631.4774,255.2329,168.0431
SM(d14:1/16:1)+H2PO4,741.459017,629.4618,253.2173,168.0431
SM(d14:1/17:0)+H2PO4,757.490317,645.4931,269.2486,168.0431
SM(d14:1/17:1)+H2PO4,755.474617,643.4774,267.2329,168.0431
SM(d14:1/17:2)+H2PO4,753.459017,641.4618,265.2173,168.0431
SM(d14:1/18:0)+H2PO4,771.505917,659.5087,283.2642,168.0431
SM(d14:1/18:1)+H2PO4,769.490317,657.4931,281.2486,168.0431
SM(d14:1/18:2)+H2PO4,767.474617,655.4774,279.2329,168.0431
SM(d14:1/18:3)+H2PO4,765.459017,653.4618,277.2173,168.0431
SM(d14:1/18:4)+H2PO4,763.443317,651.4461,275.2016,168.0431
SM(d14:1/19:0)+H2PO4,785.521617,673.5244,297.2799,168.0431
SM(d14:1/20:0)+H2PO4,799.537217,687.54,311.2955,168.0431
SM(d14:1/20:1)+H2PO4,797.521617,685.5244,309.2799,168.0431
SM(d14:1/20:2)+H2PO4,795.505917,683.5087,307.2642,168.0431
SM(d14:1/20:3)+H2PO4,793.490317,681.4931,305.2486,168.0431
SM(d14:1/20:4)+H2PO4,791.474617,679.4774,303.2329,168.0431
SM(d14:1/20:5)+H2PO4,789.459017,677.4618,301.2173,168.0431
SM(d14:1/21:0)+H2PO4,813.552917,701.5557,325.3112,168.0431
SM(d14:1/22:0)+H2PO4,827.568517,715.5713,339.3268,168.0431
SM(d14:1/22:1)+H2PO4,825.552917,713.5557,337.3112,168.0431
SM(d14:1/22:2)+H2PO4,823.537217,711.54,335.2955,168.0431
SM(d14:1/22:3)+H2PO4,821.521617,709.5244,333.2799,168.0431
SM(d14:1/22:4)+H2PO4,819.505917,707.5087,331.2642,168.0431
SM(d14:1/22:5)+H2PO4,817.490317,705.4931,329.2486,168.0431
SM(d14:1/22:6)+H2PO4,815.474617,703.4774,327.2329,168.0431
SM(d14:1/23:0)+H2PO4,841.584217,729.587,353.3425,168.0431
SM(d14:1/24:0)+H2PO4,855.599817,743.6026,367.3581,168.0431
SM(d14:1/24:1)+H2PO4,853.584217,741.587,365.3425,168.0431
SM(d14:1/25:0)+H2PO4,869.615517,757.6183,381.3738,168.0431
SM(d14:1/26:0)+H2PO4,883.631117,771.6339,395.3894,168.0431
SM(d14:1/8:0)+H2PO4,631.349417,519.3522,143.1077,168.0431
SM(d15:0/10:0)+H2PO4,675.412017,563.4148,171.139,168.0431
SM(d15:0/12:0)+H2PO4,703.443317,591.4461,199.1703,168.0431
SM(d15:0/13:0)+H2PO4,717.459017,605.4618,213.186,168.0431
SM(d15:0/14:0)+H2PO4,731.474617,619.4774,227.2016,168.0431
SM(d15:0/14:1)+H2PO4,729.459017,617.4618,225.186,168.0431
SM(d15:0/15:0)+H2PO4,745.490317,633.4931,241.2173,168.0431
SM(d15:0/15:1)+H2PO4,743.474617,631.4774,239.2016,168.0431
SM(d15:0/16:0)+H2PO4,759.505917,647.5087,255.2329,168.0431
SM(d15:0/16:1)+H2PO4,757.490317,645.4931,253.2173,168.0431
SM(d15:0/17:0)+H2PO4,773.521617,661.5244,269.2486,168.0431
SM(d15:0/17:1)+H2PO4,771.505917,659.5087,267.2329,168.0431
SM(d15:0/17:2)+H2PO4,769.490317,657.4931,265.2173,168.0431
SM(d15:0/18:0)+H2PO4,787.537217,675.54,283.2642,168.0431
SM(d15:0/18:1)+H2PO4,785.521617,673.5244,281.2486,168.0431
SM(d15:0/18:2)+H2PO4,783.505917,671.5087,279.2329,168.0431
SM(d15:0/18:3)+H2PO4,781.490317,669.4931,277.2173,168.0431
