PA,[M-H]-,[M-T1Ketene]-,[M-T2Ketene]-,[M-T1RCOOH]-,[M-T2RCOOH]-,[GlyceroPA-CH3-H2O]-,[T1_RCOO]-,[T2_RCOO]-,[Glycerol-3-phosphate]-,[Glycerol-3-phosphate-H2O]-,[H2PO4]-,[PO3]-
PA(12:0_20:4),639.40316,457.23609,353.17349,439.22553,335.16293,224.06881,199.17035,303.23295,171.00644,152.99586,96.96964,78.95852
PA(12:0_20:5),637.38756,455.22049,353.17349,437.20993,335.16293,224.06881,199.17035,301.21735,171.00644,152.99586,96.96964,78.95852
PA(12:0_21:0),661.48146,479.31439,353.17349,461.30383,335.16293,224.06881,199.17035,325.31125,171.00644,152.99586,96.96964,78.95852
PA(12:0_22:0),675.49706,493.32999,353.17349,475.31943,335.16293,224.06881,199.17035,339.32685,171.00644,152.99586,96.96964,78.95852
PA(12:0_22:1),673.48146,491.31439,353.17349,473.30383,335.16293,224.06881,199.17035,337.31125,171.00644,152.99586,96.96964,78.95852
PA(12:0_22:2),671.46576,489.29869,353.17349,471.28813,335.16293,224.06881,199.17035,335.29555,171.00644,152.99586,96.96964,78.95852
PA(12:0_22:3),669.45016,487.28309,353.17349,469.27253,335.16293,224.06881,199.17035,333.27995,171.00644,152.99586,96.96964,78.95852
PA(12:0_22:4),667.43446,485.26739,353.17349,467.25683,335.16293,224.06881,199.17035,331.26425,171.00644,152.99586,96.96964,78.95852
PA(12:0_22:5),665.41886,483.25179,353.17349,465.24123,335.16293,224.06881,199.17035,329.24865,171.00644,152.99586,96.96964,78.95852
PA(12:0_22:6),663.40316,481.23609,353.17349,463.22553,335.16293,224.06881,199.17035,327.23295,171.00644,152.99586,96.96964,78.95852
PA(12:0_23:0),689.51276,507.34569,353.17349,489.33513,335.16293,224.06881,199.17035,353.34255,171.00644,152.99586,96.96964,78.95852
PA(12:0_24:0),703.52836,521.36129,353.17349,503.35073,335.16293,224.06881,199.17035,367.35815,171.00644,152.99586,96.96964,78.95852
PA(12:0_24:1),701.51276,519.34569,353.17349,501.33513,335.16293,224.06881,199.17035,365.34255,171.00644,152.99586,96.96964,78.95852
PA(12:0_25:0),717.54406,535.37699,353.17349,517.36643,335.16293,224.06881,199.17035,381.37385,171.00644,152.99586,96.96964,78.95852
PA(12:0_26:0),731.55966,549.39259,353.17349,531.38203,335.16293,224.06881,199.17035,395.38945,171.00644,152.99586,96.96964,78.95852
PA(13:0_13:0),563.37196,367.18919,367.18919,349.17863,349.17863,224.06881,213.18605,213.18605,171.00644,152.99586,96.96964,78.95852
PA(13:0_14:0),577.38756,381.20479,367.18919,363.19423,349.17863,224.06881,213.18605,227.20165,171.00644,152.99586,96.96964,78.95852
PA(13:0_14:1),575.37196,379.18919,367.18919,361.17863,349.17863,224.06881,213.18605,225.18605,171.00644,152.99586,96.96964,78.95852
PA(13:0_15:0),591.40326,395.22049,367.18919,377.20993,349.17863,224.06881,213.18605,241.21735,171.00644,152.99586,96.96964,78.95852
PA(13:0_15:1),589.38756,393.20479,367.18919,375.19423,349.17863,224.06881,213.18605,239.20165,171.00644,152.99586,96.96964,78.95852
PA(13:0_16:0),605.41886,409.23609,367.18919,391.22553,349.17863,224.06881,213.18605,255.23295,171.00644,152.99586,96.96964,78.95852
PA(13:0_16:1),603.40326,407.22049,367.18919,389.20993,349.17863,224.06881,213.18605,253.21735,171.00644,152.99586,96.96964,78.95852
PA(13:0_17:0),619.43456,423.25179,367.18919,405.24123,349.17863,224.06881,213.18605,269.24865,171.00644,152.99586,96.96964,78.95852
PA(13:0_17:1),617.41886,421.23609,367.18919,403.22553,349.17863,224.06881,213.18605,267.23295,171.00644,152.99586,96.96964,78.95852
PA(13:0_17:2),615.40326,419.22049,367.18919,401.20993,349.17863,224.06881,213.18605,265.21735,171.00644,152.99586,96.96964,78.95852
PA(13:0_18:0),633.45016,437.26739,367.18919,419.25683,349.17863,224.06881,213.18605,283.26425,171.00644,152.99586,96.96964,78.95852
PA(13:0_18:1),631.43456,435.25179,367.18919,417.24123,349.17863,224.06881,213.18605,281.24865,171.00644,152.99586,96.96964,78.95852
PA(13:0_18:2),629.41886,433.23609,367.18919,415.22553,349.17863,224.06881,213.18605,279.23295,171.00644,152.99586,96.96964,78.95852
PA(13:0_18:3),627.40326,431.22049,367.18919,413.20993,349.17863,224.06881,213.18605,277.21735,171.00644,152.99586,96.96964,78.95852
PA(13:0_18:4),625.38756,429.20479,367.18919,411.19423,349.17863,224.06881,213.18605,275.20165,171.00644,152.99586,96.96964,78.95852
PA(13:0_19:0),647.46586,451.28309,367.18919,433.27253,349.17863,224.06881,213.18605,297.27995,171.00644,152.99586,96.96964,78.95852
