PS,[M-H]-,[M-Serine]-,[M-T1Ketene]-,[M-T2Ketene]-,[M-T1RCOOH]-,[M-T2RCOOH]-,[GlyceroPC-CH3-H2O]-,[T1_RCOO]-,[T2_RCOO]-,[Glycerol-3-phosphate-H2O]-,[H2PO4]-,[PO3]-
PS(12:0_16:1),676.4196,589.38758,407.22051,353.17351,389.20995,335.16295,224.06881,199.17035,253.21735,152.99586,96.96964,78.95852
PS(12:0_17:0),692.4509,605.41888,423.25181,353.17351,405.24125,335.16295,224.06881,199.17035,269.24865,152.99586,96.96964,78.95852
PS(12:0_17:1),690.4352,603.40318,421.23611,353.17351,403.22555,335.16295,224.06881,199.17035,267.23295,152.99586,96.96964,78.95852
PS(12:0_17:2),688.4196,601.38758,419.22051,353.17351,401.20995,335.16295,224.06881,199.17035,265.21735,152.99586,96.96964,78.95852
PS(12:0_18:0),706.4665,619.43448,437.26741,353.17351,419.25685,335.16295,224.06881,199.17035,283.26425,152.99586,96.96964,78.95852
PS(12:0_18:1),704.4509,617.41888,435.25181,353.17351,417.24125,335.16295,224.06881,199.17035,281.24865,152.99586,96.96964,78.95852
PS(12:0_18:2),702.4352,615.40318,433.23611,353.17351,415.22555,335.16295,224.06881,199.17035,279.23295,152.99586,96.96964,78.95852
PS(12:0_18:3),700.4196,613.38758,431.22051,353.17351,413.20995,335.16295,224.06881,199.17035,277.21735,152.99586,96.96964,78.95852
PS(12:0_18:4),698.4039,611.37188,429.20481,353.17351,411.19425,335.16295,224.06881,199.17035,275.20165,152.99586,96.96964,78.95852
PS(12:0_19:0),720.4822,633.45018,451.28311,353.17351,433.27255,335.16295,224.06881,199.17035,297.27995,152.99586,96.96964,78.95852
PS(12:0_20:0),734.4978,647.46578,465.29871,353.17351,447.28815,335.16295,224.06881,199.17035,311.29555,152.99586,96.96964,78.95852
PS(12:0_20:1),732.4822,645.45018,463.28311,353.17351,445.27255,335.16295,224.06881,199.17035,309.27995,152.99586,96.96964,78.95852
PS(12:0_20:2),730.4665,643.43448,461.26741,353.17351,443.25685,335.16295,224.06881,199.17035,307.26425,152.99586,96.96964,78.95852
PS(12:0_20:3),728.4509,641.41888,459.25181,353.17351,441.24125,335.16295,224.06881,199.17035,305.24865,152.99586,96.96964,78.95852
PS(12:0_20:4),726.4352,639.40318,457.23611,353.17351,439.22555,335.16295,224.06881,199.17035,303.23295,152.99586,96.96964,78.95852
PS(12:0_20:5),724.4196,637.38758,455.22051,353.17351,437.20995,335.16295,224.06881,199.17035,301.21735,152.99586,96.96964,78.95852
PS(12:0_21:0),748.5135,661.48148,479.31441,353.17351,461.30385,335.16295,224.06881,199.17035,325.31125,152.99586,96.96964,78.95852
PS(12:0_22:0),762.5291,675.49708,493.33001,353.17351,475.31945,335.16295,224.06881,199.17035,339.32685,152.99586,96.96964,78.95852
PS(12:0_22:1),760.5135,673.48148,491.31441,353.17351,473.30385,335.16295,224.06881,199.17035,337.31125,152.99586,96.96964,78.95852
PS(12:0_22:2),758.4978,671.46578,489.29871,353.17351,471.28815,335.16295,224.06881,199.17035,335.29555,152.99586,96.96964,78.95852
PS(12:0_22:3),756.4822,669.45018,487.28311,353.17351,469.27255,335.16295,224.06881,199.17035,333.27995,152.99586,96.96964,78.95852
PS(12:0_22:4),754.4665,667.43448,485.26741,353.17351,467.25685,335.16295,224.06881,199.17035,331.26425,152.99586,96.96964,78.95852
PS(12:0_22:5),752.4509,665.41888,483.25181,353.17351,465.24125,335.16295,224.06881,199.17035,329.24865,152.99586,96.96964,78.95852
PS(12:0_22:6),750.4352,663.40318,481.23611,353.17351,463.22555,335.16295,224.06881,199.17035,327.23295,152.99586,96.96964,78.95852
PS(12:0_23:0),776.5448,689.51278,507.34571,353.17351,489.33515,335.16295,224.06881,199.17035,353.34255,152.99586,96.96964,78.95852
PS(12:0_24:0),790.5604,703.52838,521.36131,353.17351,503.35075,335.16295,224.06881,199.17035,367.35815,152.99586,96.96964,78.95852
PS(12:0_24:1),788.5448,701.51278,519.34571,353.17351,501.33515,335.16295,224.06881,199.17035,365.34255,152.99586,96.96964,78.95852
PS(12:0_25:0),804.5761,717.54408,535.37701,353.17351,517.36645,335.16295,224.06881,199.17035,381.37385,152.99586,96.96964,78.95852
PS(12:0_26:0),818.5917,731.55968,549.39261,353.17351,531.38205,335.16295,224.06881,199.17035,395.38945,152.99586,96.96964,78.95852
PS(13:0_13:0),650.404,563.37198,367.18921,367.18921,349.17865,349.17865,224.06881,213.18605,213.18605,152.99586,96.96964,78.95852
PS(13:0_14:0),664.4196,577.38758,381.20481,367.18921,363.19425,349.17865,224.06881,213.18605,227.20165,152.99586,96.96964,78.95852
PS(13:0_14:1),662.404,575.37198,379.18921,367.18921,361.17865,349.17865,224.06881,213.18605,225.18605,152.99586,96.96964,78.95852
PS(13:0_15:0),678.4353,591.40328,395.22051,367.18921,377.20995,349.17865,224.06881,213.18605,241.21735,152.99586,96.96964,78.95852
PS(13:0_15:1),676.4196,589.38758,393.20481,367.18921,375.19425,349.17865,224.06881,213.18605,239.20165,152.99586,96.96964,78.95852
PS(13:0_16:0),692.4509,605.41888,409.23611,367.18921,391.22555,349.17865,224.06881,213.18605,255.23295,152.99586,96.96964,78.95852
