Plasmenyl-PE,[M-H]-,[M-T2Ketene]-,[M-T2RCOOH]-,[T2_RCOO]-,[Glycerol-3-phosphate-H2O]-,[H2PO4]-,[PO3]-,[PE]-,[PE-H2O]-
Plasmenyl-PE(P-18:0/22:5),776.56005,464.31468,446.30412,329.24865,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:0/22:6),774.54435,464.31468,446.30412,327.23295,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:0/23:0),800.65395,464.31468,446.30412,353.34255,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:0/24:0),814.66955,464.31468,446.30412,367.35815,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:0/24:1),812.65395,464.31468,446.30412,365.34255,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:0/25:0),828.68525,464.31468,446.30412,381.37385,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:0/26:0),842.70085,464.31468,446.30412,395.38945,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:0/8:0),590.41915,464.31468,446.30412,143.10775,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:1/10:0),616.43485,462.29908,444.28852,171.13905,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:1/12:0),644.46615,462.29908,444.28852,199.17035,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:1/13:0),658.48185,462.29908,444.28852,213.18605,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:1/14:0),672.49745,462.29908,444.28852,227.20165,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:1/14:1),670.48185,462.29908,444.28852,225.18605,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:1/15:0),686.51315,462.29908,444.28852,241.21735,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:1/15:1),684.49745,462.29908,444.28852,239.20165,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:1/16:0),700.52875,462.29908,444.28852,255.23295,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:1/16:1),698.51315,462.29908,444.28852,253.21735,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:1/17:0),714.54445,462.29908,444.28852,269.24865,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:1/17:1),712.52875,462.29908,444.28852,267.23295,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:1/17:2),710.51315,462.29908,444.28852,265.21735,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:1/18:0),728.56005,462.29908,444.28852,283.26425,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:1/18:1),726.54445,462.29908,444.28852,281.24865,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:1/18:2),724.52875,462.29908,444.28852,279.23295,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:1/18:3),722.51315,462.29908,444.28852,277.21735,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:1/18:4),720.49745,462.29908,444.28852,275.20165,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:1/19:0),742.57575,462.29908,444.28852,297.27995,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:1/20:0),756.59135,462.29908,444.28852,311.29555,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:1/20:1),754.57575,462.29908,444.28852,309.27995,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:1/20:2),752.56005,462.29908,444.28852,307.26425,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:1/20:3),750.54445,462.29908,444.28852,305.24865,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-18:1/20:4),748.52875,462.29908,444.28852,303.23295,152.99586,96.96964,78.95852,140.01128,122.0007
