HexCer,[M+K]+,[M+H-H2O]+,[M+H-Hex]+,[M+H-Hex-H2O]+,[M+H-R1-H2O-Hex]+,[M+H-R1-2H2O-Hex]+
HexCer(d14:3/23:1),774.52868,718.56224,556.5093,538.4988,222.1853,204.1747
HexCer(d14:3/24:0),790.55998,734.59354,572.5406,554.5301,222.1853,204.1747
HexCer(d14:3/24:1),788.54428,732.57784,570.525,552.5144,222.1853,204.1747
HexCer(d14:3/24:2),786.52868,730.56224,568.5093,550.4988,222.1853,204.1747
HexCer(d14:3/25:0),804.57558,748.60914,586.5563,568.5457,222.1853,204.1747
HexCer(d14:3/25:1),802.55998,746.59354,584.5406,566.5301,222.1853,204.1747
HexCer(d14:3/26:0),818.59118,762.62474,600.572,582.5613,222.1853,204.1747
HexCer(d14:3/26:1),816.57558,760.60914,598.5563,580.5457,222.1853,204.1747
HexCer(d14:3/26:2),814.55998,758.59354,596.5406,578.5301,222.1853,204.1747
HexCer(d14:3/27:0),832.60688,776.64044,614.5876,596.577,222.1853,204.1747
HexCer(d14:3/27:1),830.59118,774.62474,612.572,594.5613,222.1853,204.1747
HexCer(d14:3/28:0),846.62248,790.65604,628.6032,610.5927,222.1853,204.1747
HexCer(d14:3/28:1),844.60688,788.64044,626.5876,608.577,222.1853,204.1747
HexCer(d14:3/28:2),842.59118,786.62474,624.572,606.5613,222.1853,204.1747
HexCer(d14:3/29:0),860.63818,804.67174,642.6189,624.6083,222.1853,204.1747
HexCer(d14:3/29:1),858.62248,802.65604,640.6032,622.5927,222.1853,204.1747
HexCer(d14:3/30:0),874.65378,818.68734,656.6345,638.624,222.1853,204.1747
HexCer(d14:3/30:1),872.63818,816.67174,654.6189,636.6083,222.1853,204.1747
HexCer(d14:3/30:2),870.62248,814.65604,652.6032,634.5927,222.1853,204.1747
HexCer(d14:3/31:0),888.66948,832.70304,670.6502,652.6396,222.1853,204.1747
HexCer(d14:3/31:1),886.65378,830.68734,668.6345,650.624,222.1853,204.1747
HexCer(d14:3/32:0),902.68508,846.71864,684.6658,666.6553,222.1853,204.1747
HexCer(d14:3/32:1),900.66948,844.70304,682.6502,664.6396,222.1853,204.1747
HexCer(d14:3/32:2),898.65378,842.68734,680.6345,662.624,222.1853,204.1747
HexCer(d14:3/33:0),916.70078,860.73434,698.6815,680.6709,222.1853,204.1747
HexCer(d14:3/33:1),914.68508,858.71864,696.6658,678.6553,222.1853,204.1747
HexCer(d14:3/34:0),930.71648,874.75004,712.6971,694.6866,222.1853,204.1747
HexCer(d14:3/34:1),928.70078,872.73434,710.6815,692.6709,222.1853,204.1747
