HexCer,[M+Na]+,[M+H-H2O]+,[M+H-Hex]+,[M+H-Hex-H2O]+,[M+H-R1-H2O-Hex]+,[M+H-R1-2H2O-Hex]+
HexCer(d15:1/22:0),764.60164,724.60914,562.5563,544.5457,240.2322,222.2216
HexCer(d15:1/22:1),762.58604,722.59354,560.5406,542.5301,240.2322,222.2216
HexCer(d15:1/22:2),760.57034,720.57784,558.525,540.5144,240.2322,222.2216
HexCer(d15:1/23:0),778.61724,738.62474,576.572,558.5613,240.2322,222.2216
HexCer(d15:1/23:1),776.60164,736.60914,574.5563,556.5457,240.2322,222.2216
HexCer(d15:1/24:0),792.63294,752.64044,590.5876,572.577,240.2322,222.2216
HexCer(d15:1/24:1),790.61724,750.62474,588.572,570.5613,240.2322,222.2216
HexCer(d15:1/24:2),788.60164,748.60914,586.5563,568.5457,240.2322,222.2216
HexCer(d15:1/25:0),806.64854,766.65604,604.6032,586.5927,240.2322,222.2216
HexCer(d15:1/25:1),804.63294,764.64044,602.5876,584.577,240.2322,222.2216
HexCer(d15:1/26:0),820.66424,780.67174,618.6189,600.6083,240.2322,222.2216
HexCer(d15:1/26:1),818.64854,778.65604,616.6032,598.5927,240.2322,222.2216
HexCer(d15:1/26:2),816.63294,776.64044,614.5876,596.577,240.2322,222.2216
HexCer(d15:1/27:0),834.67984,794.68734,632.6345,614.624,240.2322,222.2216
HexCer(d15:1/27:1),832.66424,792.67174,630.6189,612.6083,240.2322,222.2216
HexCer(d15:1/28:0),848.69554,808.70304,646.6502,628.6396,240.2322,222.2216
HexCer(d15:1/28:1),846.67984,806.68734,644.6345,626.624,240.2322,222.2216
HexCer(d15:1/28:2),844.66424,804.67174,642.6189,624.6083,240.2322,222.2216
HexCer(d15:1/29:0),862.71114,822.71864,660.6658,642.6553,240.2322,222.2216
HexCer(d15:1/29:1),860.69554,820.70304,658.6502,640.6396,240.2322,222.2216
HexCer(d15:1/30:0),876.72684,836.73434,674.6815,656.6709,240.2322,222.2216
HexCer(d15:1/30:1),874.71114,834.71864,672.6658,654.6553,240.2322,222.2216
HexCer(d15:1/30:2),872.69554,832.70304,670.6502,652.6396,240.2322,222.2216
HexCer(d15:1/31:0),890.74254,850.75004,688.6971,670.6866,240.2322,222.2216
HexCer(d15:1/31:1),888.72684,848.73434,686.6815,668.6709,240.2322,222.2216
HexCer(d15:1/32:0),904.75814,864.76564,702.7128,684.7022,240.2322,222.2216
HexCer(d15:1/32:1),902.74254,862.75004,700.6971,682.6866,240.2322,222.2216
HexCer(d15:1/32:2),900.72684,860.73434,698.6815,680.6709,240.2322,222.2216
HexCer(d15:1/33:0),918.77384,878.78134,716.7285,698.7179,240.2322,222.2216
HexCer(d15:1/33:1),916.75814,876.76564,714.7128,696.7022,240.2322,222.2216
HexCer(d15:1/34:0),932.78944,892.79694,730.7441,712.7335,240.2322,222.2216
HexCer(d15:1/34:1),930.77384,890.78134,728.7285,710.7179,240.2322,222.2216
HexCer(d15:1/34:2),928.75814,888.76564,726.7128,708.7022,240.2322,222.2216
HexCer(d15:1/35:0),946.80504,906.81254,744.7598,726.7491,240.2322,222.2216
HexCer(d15:1/35:1),944.78944,904.79694,742.7441,724.7335,240.2322,222.2216
HexCer(d15:1/36:0),960.82074,920.82824,758.7754,740.7648,240.2322,222.2216
HexCer(d15:1/36:1),958.80504,918.81254,756.7598,738.7491,240.2322,222.2216
HexCer(d15:1/36:2),956.78944,916.79694,754.7441,736.7335,240.2322,222.2216
HexCer(d15:1/38:0),988.85204,948.85954,786.8067,768.7961,240.2322,222.2216
HexCer(d15:1/38:1),986.83634,946.84384,784.791,766.7805,240.2322,222.2216
HexCer(d15:1/38:2),984.82074,944.82824,782.7754,764.7648,240.2322,222.2216
HexCer(d15:1/40:0),1016.88334,976.89084,814.838,796.8274,240.2322,222.2216
HexCer(d15:1/40:1),1014.86764,974.87514,812.8223,794.8118,240.2322,222.2216
HexCer(d15:1/40:2),1012.85204,972.85954,810.8067,792.7961,240.2322,222.2216
HexCer(d15:1/42:0),1044.91494,1004.92244,842.8693,824.8587,240.2322,222.2216
HexCer(d15:1/42:1),1042.89894,1002.90644,840.8536,822.8431,240.2322,222.2216
HexCer(d15:1/42:2),1040.88294,1000.89044,838.838,820.8274,240.2322,222.2216
HexCer(d15:2/12:0),622.42944,582.43694,420.3841,402.3736,238.2166,220.206
HexCer(d15:2/12:1),620.41384,580.42134,418.3685,400.3579,238.2166,220.206
HexCer(d15:2/13:0),636.44514,596.45264,434.3998,416.3892,238.2166,220.206
HexCer(d15:2/13:1),634.42944,594.43694,432.3841,414.3736,238.2166,220.206
HexCer(d15:2/14:0),650.46074,610.46824,448.4154,430.4049,238.2166,220.206
HexCer(d15:2/14:1),648.44514,608.45264,446.3998,428.3892,238.2166,220.206
HexCer(d15:2/15:0),664.47644,624.48394,462.4311,444.4205,238.2166,220.206
HexCer(d15:2/15:1),662.46074,622.46824,460.4154,442.4049,238.2166,220.206
HexCer(d15:2/16:0),678.49204,638.49954,476.4467,458.4362,238.2166,220.206
HexCer(d15:2/16:1),676.47644,636.48394,474.4311,456.4205,238.2166,220.206
HexCer(d15:2/16:2),674.46074,634.46824,472.4154,454.4049,238.2166,220.206
HexCer(d15:2/17:0),692.50774,652.51524,490.4624,472.4518,238.2166,220.206
HexCer(d15:2/18:0),706.52334,666.53084,504.478,486.4675,238.2166,220.206
HexCer(d15:2/18:1),704.50774,664.51524,502.4624,484.4518,238.2166,220.206
HexCer(d15:2/18:2),702.49204,662.49954,500.4467,482.4362,238.2166,220.206
HexCer(d15:2/19:0),720.53904,680.54654,518.4937,500.4831,238.2166,220.206
HexCer(d15:2/19:1),718.52334,678.53084,516.478,498.4675,238.2166,220.206
HexCer(d15:2/20:0),734.55474,694.56224,532.5093,514.4988,238.2166,220.206
HexCer(d15:2/20:1),732.53904,692.54654,530.4937,512.4831,238.2166,220.206
HexCer(d15:2/20:2),730.52334,690.53084,528.478,510.4675,238.2166,220.206
HexCer(d15:2/21:0),748.57034,708.57784,546.525,528.5144,238.2166,220.206
HexCer(d15:2/21:1),746.55474,706.56224,544.5093,526.4988,238.2166,220.206
HexCer(d15:2/22:0),762.58604,722.59354,560.5406,542.5301,238.2166,220.206
HexCer(d15:2/22:1),760.57034,720.57784,558.525,540.5144,238.2166,220.206
HexCer(d15:2/22:2),758.55474,718.56224,556.5093,538.4988,238.2166,220.206
HexCer(d15:2/23:0),776.60164,736.60914,574.5563,556.5457,238.2166,220.206
HexCer(d15:2/23:1),774.58604,734.59354,572.5406,554.5301,238.2166,220.206
HexCer(d15:2/24:0),790.61724,750.62474,588.572,570.5613,238.2166,220.206
HexCer(d15:2/24:1),788.60164,748.60914,586.5563,568.5457,238.2166,220.206
HexCer(d15:2/24:2),786.58604,746.59354,584.5406,566.5301,238.2166,220.206
HexCer(d15:2/25:0),804.63294,764.64044,602.5876,584.577,238.2166,220.206
HexCer(d15:2/25:1),802.61724,762.62474,600.572,582.5613,238.2166,220.206
HexCer(d15:2/26:0),818.64854,778.65604,616.6032,598.5927,238.2166,220.206
HexCer(d15:2/26:1),816.63294,776.64044,614.5876,596.577,238.2166,220.206
HexCer(d15:2/26:2),814.61724,774.62474,612.572,594.5613,238.2166,220.206
HexCer(d15:2/27:0),832.66424,792.67174,630.6189,612.6083,238.2166,220.206
HexCer(d15:2/27:1),830.64854,790.65604,628.6032,610.5927,238.2166,220.206
