"PS","[M+H]+","[M+H-PS head]+","[acyl-sn1-RCOO+58]+","[acyl-sn2-RCOO+58]+","[acyl-sn1-RCO]+","[acyl-sn2-RCO]+"
"PS(32:2) PS(15:1_17:1)",732.48106,547.47211,325.27376,297.24246,223.20565,251.23695
"PS(32:3) PS(15:1_17:2)",730.46546,545.45651,323.25816,297.24246,223.20565,249.22135
"PS(33:1) PS(15:1_18:0)",748.51236,563.50341,341.30506,297.24246,223.20565,267.26825
"PS(33:2) PS(15:1_18:1)",746.49676,561.48781,339.28946,297.24246,223.20565,265.25265
"PS(33:3) PS(15:1_18:2)",744.48106,559.47211,337.27376,297.24246,223.20565,263.23695
"PS(33:4) PS(15:1_18:3)",742.46546,557.45651,335.25816,297.24246,223.20565,261.22135
"PS(33:5) PS(15:1_18:4)",740.44976,555.44081,333.24246,297.24246,223.20565,259.20565
"PS(34:1) PS(15:1_19:0)",762.52806,577.51911,355.32076,297.24246,223.20565,281.28395
"PS(35:1) PS(15:1_20:0)",776.54366,591.53471,369.33636,297.24246,223.20565,295.29955
"PS(35:2) PS(15:1_20:1)",774.52806,589.51911,367.32076,297.24246,223.20565,293.28395
"PS(35:3) PS(15:1_20:2)",772.51236,587.50341,365.30506,297.24246,223.20565,291.26825
"PS(35:4) PS(15:1_20:3)",770.49676,585.48781,363.28946,297.24246,223.20565,289.25265
"PS(35:5) PS(15:1_20:4)",768.48106,583.47211,361.27376,297.24246,223.20565,287.23695
"PS(35:6) PS(15:1_20:5)",766.46546,581.45651,359.25816,297.24246,223.20565,285.22135
"PS(36:1) PS(15:1_21:0)",790.55936,605.55041,383.35206,297.24246,223.20565,309.31525
"PS(37:1) PS(15:1_22:0)",804.57496,619.56601,397.36766,297.24246,223.20565,323.33085
"PS(37:2) PS(15:1_22:1)",802.55936,617.55041,395.35206,297.24246,223.20565,321.31525
"PS(37:3) PS(15:1_22:2)",800.54366,615.53471,393.33636,297.24246,223.20565,319.29955
"PS(37:4) PS(15:1_22:3)",798.52806,613.51911,391.32076,297.24246,223.20565,317.28395
"PS(37:5) PS(15:1_22:4)",796.51236,611.50341,389.30506,297.24246,223.20565,315.26825
"PS(37:6) PS(15:1_22:5)",794.49676,609.48781,387.28946,297.24246,223.20565,313.25265
