"DG","[M+NH4]+","[M+H-H2O]+","[M+H-acyl-sn1-2H2O]+","[M+H-acyl-sn2-2H2O]+","[acyl-sn1CO]+","[acyl-sn2CO]+","[acyl-sn1CO-H2O]+","[acyl-sn2CO-H2O]+","[acyl-sn1CO-H2O+74]+","[acyl-sn2CO-H2O+74]+"
"DG(32:0) DG(12:0_20:0)",586.5405,551.5034,369.3363,257.2111,183.1743,295.2995,165.1638,277.289,239.2006,351.3258
"DG(32:1) DG(12:0_20:1)",584.5249,549.4878,367.3207,257.2111,183.1743,293.2839,165.1638,275.2734,239.2006,349.3102
"DG(32:2) DG(12:0_20:2)",582.5092,547.4721,365.305,257.2111,183.1743,291.2682,165.1638,273.2577,239.2006,347.2945
"DG(32:3) DG(12:0_20:3)",580.4936,545.4565,363.2894,257.2111,183.1743,289.2526,165.1638,271.2421,239.2006,345.2789
"DG(32:4) DG(12:0_20:4)",578.4779,543.4408,361.2737,257.2111,183.1743,287.2369,165.1638,269.2264,239.2006,343.2632
"DG(32:5) DG(12:0_20:5)",576.4623,541.4252,359.2581,257.2111,183.1743,285.2213,165.1638,267.2108,239.2006,341.2476
"DG(33:0) DG(12:0_21:0)",600.5562,565.5191,383.352,257.2111,183.1743,309.3152,165.1638,291.3047,239.2006,365.3415
"DG(34:0) DG(12:0_22:0)",614.5718,579.5347,397.3676,257.2111,183.1743,323.3308,165.1638,305.3203,239.2006,379.3571
"DG(34:1) DG(12:0_22:1)",612.5562,577.5191,395.352,257.2111,183.1743,321.3152,165.1638,303.3047,239.2006,377.3415
"DG(34:2) DG(12:0_22:2)",610.5405,575.5034,393.3363,257.2111,183.1743,319.2995,165.1638,301.289,239.2006,375.3258
"DG(34:3) DG(12:0_22:3)",608.5249,573.4878,391.3207,257.2111,183.1743,317.2839,165.1638,299.2734,239.2006,373.3102
"DG(34:4) DG(12:0_22:4)",606.5092,571.4721,389.305,257.2111,183.1743,315.2682,165.1638,297.2577,239.2006,371.2945
"DG(34:5) DG(12:0_22:5)",604.4936,569.4565,387.2894,257.2111,183.1743,313.2526,165.1638,295.2421,239.2006,369.2789
"DG(34:6) DG(12:0_22:6)",602.4779,567.4408,385.2737,257.2111,183.1743,311.2369,165.1638,293.2264,239.2006,367.2632
"DG(35:0) DG(12:0_23:0)",628.5875,593.5504,411.3833,257.2111,183.1743,337.3465,165.1638,319.336,239.2006,393.3728
"DG(36:0) DG(12:0_24:0)",642.6031,607.566,425.3989,257.2111,183.1743,351.3621,165.1638,333.3516,239.2006,407.3884
"DG(36:1) DG(12:0_24:1)",640.5875,605.5504,423.3833,257.2111,183.1743,349.3465,165.1638,331.336,239.2006,405.3728
"DG(37:0) DG(12:0_25:0)",656.6188,621.5817,439.4146,257.2111,183.1743,365.3778,165.1638,347.3673,239.2006,421.4041
"DG(38:0) DG(12:0_26:0)",670.6344,635.5973,453.4302,257.2111,183.1743,379.3934,165.1638,361.3829,239.2006,435.4197
"DG(26:0) DG(13:0_13:0)",502.4467,467.4096,271.2268,271.2268,197.19,197.19,179.1795,179.1795,253.2163,253.2163
"DG(27:0) DG(13:0_14:0)",516.4623,481.4252,285.2424,271.2268,197.19,211.2056,179.1795,193.1951,253.2163,267.2319
"DG(27:1) DG(13:0_14:1)",514.4467,479.4096,283.2268,271.2268,197.19,209.19,179.1795,191.1795,253.2163,265.2163
"DG(28:0) DG(13:0_15:0)",530.478,495.4409,299.2581,271.2268,197.19,225.2213,179.1795,207.2108,253.2163,281.2476
"DG(28:1) DG(13:0_15:1)",528.4623,493.4252,297.2424,271.2268,197.19,223.2056,179.1795,205.1951,253.2163,279.2319
"DG(29:0) DG(13:0_16:0)",544.4936,509.4565,313.2737,271.2268,197.19,239.2369,179.1795,221.2264,253.2163,295.2632
"DG(29:1) DG(13:0_16:1)",542.478,507.4409,311.2581,271.2268,197.19,237.2213,179.1795,219.2108,253.2163,293.2476
"DG(30:0) DG(13:0_17:0)",558.5093,523.4722,327.2894,271.2268,197.19,253.2526,179.1795,235.2421,253.2163,309.2789
"DG(30:1) DG(13:0_17:1)",556.4936,521.4565,325.2737,271.2268,197.19,251.2369,179.1795,233.2264,253.2163,307.2632
"DG(30:2) DG(13:0_17:2)",554.478,519.4409,323.2581,271.2268,197.19,249.2213,179.1795,231.2108,253.2163,305.2476
"DG(31:0) DG(13:0_18:0)",572.5249,537.4878,341.305,271.2268,197.19,267.2682,179.1795,249.2577,253.2163,323.2945
"DG(31:1) DG(13:0_18:1)",570.5093,535.4722,339.2894,271.2268,197.19,265.2526,179.1795,247.2421,253.2163,321.2789
"DG(31:2) DG(13:0_18:2)",568.4936,533.4565,337.2737,271.2268,197.19,263.2369,179.1795,245.2264,253.2163,319.2632
"DG(31:3) DG(13:0_18:3)",566.478,531.4409,335.2581,271.2268,197.19,261.2213,179.1795,243.2108,253.2163,317.2476
"DG(31:4) DG(13:0_18:4)",564.4623,529.4252,333.2424,271.2268,197.19,259.2056,179.1795,241.1951,253.2163,315.2319
"DG(32:0) DG(13:0_19:0)",586.5406,551.5035,355.3207,271.2268,197.19,281.2839,179.1795,263.2734,253.2163,337.3102
"DG(33:0) DG(13:0_20:0)",600.5562,565.5191,369.3363,271.2268,197.19,295.2995,179.1795,277.289,253.2163,351.3258
"DG(33:1) DG(13:0_20:1)",598.5406,563.5035,367.3207,271.2268,197.19,293.2839,179.1795,275.2734,253.2163,349.3102
"DG(33:2) DG(13:0_20:2)",596.5249,561.4878,365.305,271.2268,197.19,291.2682,179.1795,273.2577,253.2163,347.2945
"DG(33:3) DG(13:0_20:3)",594.5093,559.4722,363.2894,271.2268,197.19,289.2526,179.1795,271.2421,253.2163,345.2789
"DG(33:4) DG(13:0_20:4)",592.4936,557.4565,361.2737,271.2268,197.19,287.2369,179.1795,269.2264,253.2163,343.2632
"DG(33:5) DG(13:0_20:5)",590.478,555.4409,359.2581,271.2268,197.19,285.2213,179.1795,267.2108,253.2163,341.2476
"DG(34:0) DG(13:0_21:0)",614.5719,579.5348,383.352,271.2268,197.19,309.3152,179.1795,291.3047,253.2163,365.3415
"DG(35:0) DG(13:0_22:0)",628.5875,593.5504,397.3676,271.2268,197.19,323.3308,179.1795,305.3203,253.2163,379.3571
"DG(35:1) DG(13:0_22:1)",626.5719,591.5348,395.352,271.2268,197.19,321.3152,179.1795,303.3047,253.2163,377.3415
"DG(35:2) DG(13:0_22:2)",624.5562,589.5191,393.3363,271.2268,197.19,319.2995,179.1795,301.289,253.2163,375.3258
"DG(35:3) DG(13:0_22:3)",622.5406,587.5035,391.3207,271.2268,197.19,317.2839,179.1795,299.2734,253.2163,373.3102
