"PG","[M+NH4]+","[M+NH4-PG head]+","[M+NH4-PG head-H2O]+","[M+NH4-T1_RCOOH]+","[M+NH4-T2_RCOOH]+","[T1_RCO]+","[T2_RCO]+","[T1RCOO+58]+","[T2RCOO+58]+"
"PG(30:0) PG(13:0_17:0)",712.51246,541.50656,523.472227,481.292586,425.229986,197.19005,253.25265,271.22683,327.28943
"PG(30:1) PG(13:0_17:1)",710.49676,539.49086,521.456527,479.276886,425.229986,197.19005,251.23695,271.22683,325.27373
"PG(30:2) PG(13:0_17:2)",708.48116,537.47526,519.440927,477.261286,425.229986,197.19005,249.22135,271.22683,323.25813
"PG(31:0) PG(13:0_18:0)",726.52806,555.52216,537.487827,495.308186,425.229986,197.19005,267.26825,271.22683,341.30503
"PG(31:1) PG(13:0_18:1)",724.51246,553.50656,535.472227,493.292586,425.229986,197.19005,265.25265,271.22683,339.28943
"PG(31:2) PG(13:0_18:2)",722.49676,551.49086,533.456527,491.276886,425.229986,197.19005,263.23695,271.22683,337.27373
"PG(31:3) PG(13:0_18:3)",720.48116,549.47526,531.440927,489.261286,425.229986,197.19005,261.22135,271.22683,335.25813
"PG(31:4) PG(13:0_18:4)",718.46546,547.45956,529.425227,487.245586,425.229986,197.19005,259.20565,271.22683,333.24243
"PG(32:0) PG(13:0_19:0)",740.54376,569.53786,551.503527,509.323886,425.229986,197.19005,281.28395,271.22683,355.32073
"PG(33:0) PG(13:0_20:0)",754.55936,583.55346,565.519127,523.339486,425.229986,197.19005,295.29955,271.22683,369.33633
"PG(33:1) PG(13:0_20:1)",752.54376,581.53786,563.503527,521.323886,425.229986,197.19005,293.28395,271.22683,367.32073
"PG(33:2) PG(13:0_20:2)",750.52806,579.52216,561.487827,519.308186,425.229986,197.19005,291.26825,271.22683,365.30503
"PG(33:3) PG(13:0_20:3)",748.51246,577.50656,559.472227,517.292586,425.229986,197.19005,289.25265,271.22683,363.28943
"PG(33:4) PG(13:0_20:4)",746.49676,575.49086,557.456527,515.276886,425.229986,197.19005,287.23695,271.22683,361.27373
"PG(33:5) PG(13:0_20:5)",744.48116,573.47526,555.440927,513.261286,425.229986,197.19005,285.22135,271.22683,359.25813
"PG(34:0) PG(13:0_21:0)",768.57506,597.56916,579.534827,537.355186,425.229986,197.19005,309.31525,271.22683,383.35203
"PG(35:0) PG(13:0_22:0)",782.59066,611.58476,593.550427,551.370786,425.229986,197.19005,323.33085,271.22683,397.36763
"PG(35:1) PG(13:0_22:1)",780.57506,609.56916,591.534827,549.355186,425.229986,197.19005,321.31525,271.22683,395.35203
"PG(35:2) PG(13:0_22:2)",778.55936,607.55346,589.519127,547.339486,425.229986,197.19005,319.29955,271.22683,393.33633
