"TG","[M+NH4]+","[M+H-R1-H2O]+","[M+H-R2-H2O]+","[M+H-R3-H2O]+","[R1CO]+","[R2CO]+","[R3CO]+","[R1CO+74]+","[R2CO+74]+","[R3CO+74]+","[R1CO+74-H2O]+","[R2CO+74-H2O]+","[R3CO+74-H2O]+"
"TG(38:4) TG(12:0_18:4_8:0)",676.5510504,459.3468764,383.3155764,515.4094764,183.1743364,259.2056364,127.1117364,257.2111364,333.2424364,201.1485364,239.2005714,315.2318714,183.1379714
"TG(38:3) TG(10:0_10:0_18:3)",678.5667504,489.3938764,489.3938764,383.3155764,155.1430364,155.1430364,261.2213364,229.1798364,229.1798364,335.2581364,211.1692714,211.1692714,317.2475714
"TG(38:3) TG(22:3_8:0_8:0)",678.5667504,327.2529764,517.4251764,517.4251764,317.2839364,127.1117364,127.1117364,391.3207364,201.1485364,201.1485364,373.3101714,183.1379714,183.1379714
"TG(38:3) TG(10:0_20:3_8:0)",678.5667504,489.3938764,355.2842764,517.4251764,155.1430364,289.2526364,127.1117364,229.1798364,363.2894364,201.1485364,211.1692714,345.2788714,183.1379714
"TG(38:3) TG(12:0_18:3_8:0)",678.5667504,461.3625764,383.3155764,517.4251764,183.1743364,261.2213364,127.1117364,257.2111364,335.2581364,201.1485364,239.2005714,317.2475714,183.1379714
"TG(38:2) TG(10:0_10:0_18:2)",680.5823504,491.4094764,491.4094764,383.3155764,155.1430364,155.1430364,263.2369364,229.1798364,229.1798364,337.2737364,211.1692714,211.1692714,319.2631714
"TG(38:2) TG(22:2_8:0_8:0)",680.5823504,327.2529764,519.4407764,519.4407764,319.2995364,127.1117364,127.1117364,393.3363364,201.1485364,201.1485364,375.3257714,183.1379714,183.1379714
"TG(38:2) TG(10:0_20:2_8:0)",680.5823504,491.4094764,355.2842764,519.4407764,155.1430364,291.2682364,127.1117364,229.1798364,365.3050364,201.1485364,211.1692714,347.2944714,183.1379714
"TG(38:2) TG(12:0_18:2_8:0)",680.5823504,463.3781764,383.3155764,519.4407764,183.1743364,263.2369364,127.1117364,257.2111364,337.2737364,201.1485364,239.2005714,319.2631714,183.1379714
"TG(38:2) TG(15:1_15:1_8:0)",680.5823504,423.3468764,423.3468764,519.4407764,223.2056364,223.2056364,127.1117364,297.2424364,297.2424364,201.1485364,279.2318714,279.2318714,183.1379714
"TG(38:2) TG(10:0_14:1_14:1)",680.5824504,491.4095764,437.3625764,437.3625764,155.1430364,209.1900364,209.1900364,229.1798364,283.2268364,283.2268364,211.1692714,265.2162714,265.2162714
"TG(38:2) TG(13:0_17:2_8:0)",680.5824504,449.3625764,397.3312764,519.4408764,197.1900364,249.2213364,127.1117364,271.2268364,323.2581364,201.1485364,253.2162714,305.2475714,183.1379714
"TG(38:2) TG(14:1_16:1_8:0)",680.5824504,437.3625764,409.3312764,519.4408764,209.1900364,237.2213364,127.1117364,283.2268364,311.2581364,201.1485364,265.2162714,293.2475714,183.1379714
"TG(38:1) TG(12:0_12:0_14:1)",682.5980504,465.3938764,465.3938764,439.3781764,183.1743364,183.1743364,209.1900364,257.2111364,257.2111364,283.2268364,239.2005714,239.2005714,265.2162714
"TG(38:1) TG(10:0_10:0_18:1)",682.5980504,493.4251764,493.4251764,383.3155764,155.1430364,155.1430364,265.2526364,229.1798364,229.1798364,339.2894364,211.1692714,211.1692714,321.2788714
"TG(38:1) TG(10:0_12:0_16:1)",682.5980504,493.4251764,465.3938764,411.3468764,155.1430364,183.1743364,237.2213364,229.1798364,257.2111364,311.2581364,211.1692714,239.2005714,293.2475714
"TG(38:1) TG(10:0_13:0_15:1)",682.5980504,493.4251764,451.3781764,425.3625764,155.1430364,197.1900364,223.2056364,229.1798364,271.2268364,297.2424364,211.1692714,253.2162714,279.2318714
"TG(38:1) TG(10:0_14:0_14:1)",682.5980504,493.4251764,437.3625764,439.3781764,155.1430364,211.2056364,209.1900364,229.1798364,285.2424364,283.2268364,211.1692714,267.2318714,265.2162714
"TG(38:1) TG(22:1_8:0_8:0)",682.5980504,327.2529764,521.4564764,521.4564764,321.3152364,127.1117364,127.1117364,395.3520364,201.1485364,201.1485364,377.3414714,183.1379714,183.1379714
"TG(38:1) TG(10:0_20:1_8:0)",682.5980504,493.4251764,355.2842764,521.4564764,155.1430364,293.2839364,127.1117364,229.1798364,367.3207364,201.1485364,211.1692714,349.3101714,183.1379714
"TG(38:1) TG(12:0_18:1_8:0)",682.5980504,465.3938764,383.3155764,521.4564764,183.1743364,265.2526364,127.1117364,257.2111364,339.2894364,201.1485364,239.2005714,321.2788714,183.1379714
"TG(38:1) TG(13:0_17:1_8:0)",682.5980504,451.3781764,397.3312764,521.4564764,197.1900364,251.2369364,127.1117364,271.2268364,325.2737364,201.1485364,253.2162714,307.2631714,183.1379714
"TG(38:1) TG(14:1_16:0_8:0)",682.5980504,439.3781764,409.3312764,521.4564764,209.1900364,239.2369364,127.1117364,283.2268364,313.2737364,201.1485364,265.2162714,295.2631714,183.1379714
"TG(38:1) TG(14:0_16:1_8:0)",682.5980504,437.3625764,411.3468764,521.4564764,211.2056364,237.2213364,127.1117364,285.2424364,311.2581364,201.1485364,267.2318714,293.2475714,183.1379714
"TG(38:1) TG(15:0_15:1_8:0)",682.5980504,423.3468764,425.3625764,521.4564764,225.2213364,223.2056364,127.1117364,299.2581364,297.2424364,201.1485364,281.2475714,279.2318714,183.1379714
"TG(38:0) TG(12:0_12:0_14:0)",684.6136504,467.4094764,467.4094764,439.3781764,183.1743364,183.1743364,211.2056364,257.2111364,257.2111364,285.2424364,239.2005714,239.2005714,267.2318714
"TG(38:0) TG(10:0_10:0_18:0)",684.6136504,495.4407764,495.4407764,383.3155764,155.1430364,155.1430364,267.2682364,229.1798364,229.1798364,341.3050364,211.1692714,211.1692714,323.2944714
"TG(38:0) TG(10:0_12:0_16:0)",684.6136504,495.4407764,467.4094764,411.3468764,155.1430364,183.1743364,239.2369364,229.1798364,257.2111364,313.2737364,211.1692714,239.2005714,295.2631714
"TG(38:0) TG(10:0_14:0_14:0)",684.6136504,495.4407764,439.3781764,439.3781764,155.1430364,211.2056364,211.2056364,229.1798364,285.2424364,285.2424364,211.1692714,267.2318714,267.2318714
"TG(38:0) TG(22:0_8:0_8:0)",684.6136504,327.2529764,523.4720764,523.4720764,323.3308364,127.1117364,127.1117364,397.3676364,201.1485364,201.1485364,379.3570714,183.1379714,183.1379714
"TG(38:0) TG(10:0_20:0_8:0)",684.6136504,495.4407764,355.2842764,523.4720764,155.1430364,295.2995364,127.1117364,229.1798364,369.3363364,201.1485364,211.1692714,351.3257714,183.1379714
"TG(38:0) TG(12:0_18:0_8:0)",684.6136504,467.4094764,383.3155764,523.4720764,183.1743364,267.2682364,127.1117364,257.2111364,341.3050364,201.1485364,239.2005714,323.2944714,183.1379714
"TG(38:0) TG(14:0_16:0_8:0)",684.6136504,439.3781764,411.3468764,523.4720764,211.2056364,239.2369364,127.1117364,285.2424364,313.2737364,201.1485364,267.2318714,295.2631714,183.1379714
