GM3,[M+H]+,[M-H2O+H]+,[M-C11H17NO8+H]+,[M-C11H15NO7+H]+,[M-C17H27NO13+H]+,[M-C17H25NO12+H]+,[M-C23H37NO18+H]+,[M-C23H35NO17+H]+,[C11H17NO8+H]+,[Sph+H]+,[Sph-H2O+H]+
GM3(d19:0/30:1),1363.955,1345.945,1072.86,1054.849,910.8071,892.7964,748.7542,730.7437,292.1027,298.3105,280.2999
GM3(d19:1/30:0),1363.955,1345.945,1072.86,1054.849,910.8071,892.7964,748.7542,730.7437,292.1027,296.2948,278.2842
GM3(d20:0/29:1),1363.955,1345.945,1072.86,1054.849,910.8071,892.7964,748.7542,730.7437,292.1027,312.3261,294.3155
GM3(d20:1/29:0),1363.955,1345.945,1072.86,1054.849,910.8071,892.7964,748.7542,730.7437,292.1027,310.3105,292.2999
GM3(d21:0/28:1),1363.955,1345.945,1072.86,1054.849,910.8071,892.7964,748.7542,730.7437,292.1027,326.3417,308.3312
GM3(d21:1/28:0),1363.955,1345.945,1072.86,1054.849,910.8071,892.7964,748.7542,730.7437,292.1027,324.3261,306.3155
GM3(d22:0/27:1),1363.955,1345.945,1072.86,1054.849,910.8071,892.7964,748.7542,730.7437,292.1027,340.3574,322.3468
GM3(d22:1/27:0),1363.955,1345.945,1072.86,1054.849,910.8071,892.7964,748.7542,730.7437,292.1027,338.3417,320.3312
GM3(d23:0/26:1),1363.955,1345.945,1072.86,1054.849,910.8071,892.7964,748.7542,730.7437,292.1027,354.373,336.3625
GM3(d23:1/26:0),1363.955,1345.945,1072.86,1054.849,910.8071,892.7964,748.7542,730.7437,292.1027,352.3574,334.3468
GM3(d24:0/25:1),1363.955,1345.945,1072.86,1054.849,910.8071,892.7964,748.7542,730.7437,292.1027,368.3887,350.3781
GM3(d24:1/25:0),1363.955,1345.945,1072.86,1054.849,910.8071,892.7964,748.7542,730.7437,292.1027,366.373,348.3625
GM3(d25:0/24:1),1363.955,1345.945,1072.86,1054.849,910.8071,892.7964,748.7542,730.7437,292.1027,382.4044,364.3938
GM3(d25:1/24:0),1363.955,1345.945,1072.86,1054.849,910.8071,892.7964,748.7542,730.7437,292.1027,380.3887,362.3781
GM3(d26:0/23:1),1363.955,1345.945,1072.86,1054.849,910.8071,892.7964,748.7542,730.7437,292.1027,396.42,378.4094
GM3(d26:1/23:0),1363.955,1345.945,1072.86,1054.849,910.8071,892.7964,748.7542,730.7437,292.1027,394.4044,376.3938
GM3(d27:0/22:1),1363.955,1345.945,1072.86,1054.849,910.8071,892.7964,748.7542,730.7437,292.1027,410.4356,392.4251
GM3(d27:1/22:0),1363.955,1345.945,1072.86,1054.849,910.8071,892.7964,748.7542,730.7437,292.1027,408.42,390.4094
GM3(d28:0/21:1),1363.955,1345.945,1072.86,1054.849,910.8071,892.7964,748.7542,730.7437,292.1027,424.4513,406.4407
GM3(d28:1/21:0),1363.955,1345.945,1072.86,1054.849,910.8071,892.7964,748.7542,730.7437,292.1027,422.4356,404.4251
GM3(d29:0/20:1),1363.955,1345.945,1072.86,1054.849,910.8071,892.7964,748.7542,730.7437,292.1027,438.4669,420.4564
GM3(d29:1/20:0),1363.955,1345.945,1072.86,1054.849,910.8071,892.7964,748.7542,730.7437,292.1027,436.4513,418.4407
GM3(d30:0/19:1),1363.955,1345.945,1072.86,1054.849,910.8071,892.7964,748.7542,730.7437,292.1027,452.4826,434.472
GM3(d30:1/19:0),1363.955,1345.945,1072.86,1054.849,910.8071,892.7964,748.7542,730.7437,292.1027,450.4669,432.4564
GM3(d14:1/35:1),1361.939,1343.929,1070.844,1052.833,908.791,890.7805,746.7382,728.7277,292.1027,226.2166,208.206
GM3(d15:0/34:2),1361.939,1343.929,1070.844,1052.833,908.791,890.7805,746.7382,728.7277,292.1027,242.2478,224.2373
GM3(d15:1/34:1),1361.939,1343.929,1070.844,1052.833,908.791,890.7805,746.7382,728.7277,292.1027,240.2322,222.2216
GM3(d16:1/33:1),1361.939,1343.929,1070.844,1052.833,908.791,890.7805,746.7382,728.7277,292.1027,254.2478,236.2373
GM3(d17:0/32:2),1361.939,1343.929,1070.844,1052.833,908.791,890.7805,746.7382,728.7277,292.1027,270.2791,252.2686
GM3(d17:1/32:1),1361.939,1343.929,1070.844,1052.833,908.791,890.7805,746.7382,728.7277,292.1027,268.2635,250.2529
GM3(d18:1/31:1),1361.939,1343.929,1070.844,1052.833,908.791,890.7805,746.7382,728.7277,292.1027,282.2791,264.2686
GM3(d19:0/30:2),1361.939,1343.929,1070.844,1052.833,908.791,890.7805,746.7382,728.7277,292.1027,298.3105,280.2999
GM3(d19:1/30:1),1361.939,1343.929,1070.844,1052.833,908.791,890.7805,746.7382,728.7277,292.1027,296.2948,278.2842
GM3(d20:1/29:1),1361.939,1343.929,1070.844,1052.833,908.791,890.7805,746.7382,728.7277,292.1027,310.3105,292.2999
GM3(d21:0/28:2),1361.939,1343.929,1070.844,1052.833,908.791,890.7805,746.7382,728.7277,292.1027,326.3417,308.3312
GM3(d21:1/28:1),1361.939,1343.929,1070.844,1052.833,908.791,890.7805,746.7382,728.7277,292.1027,324.3261,306.3155
GM3(d22:1/27:1),1361.939,1343.929,1070.844,1052.833,908.791,890.7805,746.7382,728.7277,292.1027,338.3417,320.3312
GM3(d23:0/26:2),1361.939,1343.929,1070.844,1052.833,908.791,890.7805,746.7382,728.7277,292.1027,354.373,336.3625
GM3(d23:1/26:1),1361.939,1343.929,1070.844,1052.833,908.791,890.7805,746.7382,728.7277,292.1027,352.3574,334.3468
GM3(d24:1/25:1),1361.939,1343.929,1070.844,1052.833,908.791,890.7805,746.7382,728.7277,292.1027,366.373,348.3625
GM3(d25:0/24:2),1361.939,1343.929,1070.844,1052.833,908.791,890.7805,746.7382,728.7277,292.1027,382.4044,364.3938
GM3(d25:1/24:1),1361.939,1343.929,1070.844,1052.833,908.791,890.7805,746.7382,728.7277,292.1027,380.3887,362.3781
GM3(d26:1/23:1),1361.939,1343.929,1070.844,1052.833,908.791,890.7805,746.7382,728.7277,292.1027,394.4044,376.3938
GM3(d27:0/22:2),1361.939,1343.929,1070.844,1052.833,908.791,890.7805,746.7382,728.7277,292.1027,410.4356,392.4251
GM3(d27:1/22:1),1361.939,1343.929,1070.844,1052.833,908.791,890.7805,746.7382,728.7277,292.1027,408.42,390.4094
GM3(d28:1/21:1),1361.939,1343.929,1070.844,1052.833,908.791,890.7805,746.7382,728.7277,292.1027,422.4356,404.4251
GM3(d29:0/20:2),1361.939,1343.929,1070.844,1052.833,908.791,890.7805,746.7382,728.7277,292.1027,438.4669,420.4564
GM3(d29:1/20:1),1361.939,1343.929,1070.844,1052.833,908.791,890.7805,746.7382,728.7277,292.1027,436.4513,418.4407
GM3(d30:1/19:1),1361.939,1343.929,1070.844,1052.833,908.791,890.7805,746.7382,728.7277,292.1027,450.4669,432.4564
GM3(d15:1/34:2),1359.924,1341.914,1068.829,1050.818,906.7761,888.7654,744.7232,726.7126,292.1027,240.2322,222.2216
GM3(d17:1/32:2),1359.924,1341.914,1068.829,1050.818,906.7761,888.7654,744.7232,726.7126,292.1027,268.2635,250.2529
GM3(d19:1/30:2),1359.924,1341.914,1068.829,1050.818,906.7761,888.7654,744.7232,726.7126,292.1027,296.2948,278.2842
GM3(d21:1/28:2),1359.924,1341.914,1068.829,1050.818,906.7761,888.7654,744.7232,726.7126,292.1027,324.3261,306.3155
GM3(d23:1/26:2),1359.924,1341.914,1068.829,1050.818,906.7761,888.7654,744.7232,726.7126,292.1027,352.3574,334.3468
GM3(d25:1/24:2),1359.924,1341.914,1068.829,1050.818,906.7761,888.7654,744.7232,726.7126,292.1027,380.3887,362.3781
GM3(d27:1/22:2),1359.924,1341.914,1068.829,1050.818,906.7761,888.7654,744.7232,726.7126,292.1027,408.42,390.4094
GM3(d29:1/20:2),1359.924,1341.914,1068.829,1050.818,906.7761,888.7654,744.7232,726.7126,292.1027,436.4513,418.4407
GM3(d14:0/36:0),1379.986,1361.976,1088.891,1070.88,926.838,908.8275,764.7852,746.7747,292.1027,228.2322,210.2216
GM3(d15:0/35:0),1379.986,1361.976,1088.891,1070.88,926.838,908.8275,764.7852,746.7747,292.1027,242.2478,224.2373
GM3(d16:0/34:0),1379.986,1361.976,1088.891,1070.88,926.838,908.8275,764.7852,746.7747,292.1027,256.2635,238.2529
GM3(d17:0/33:0),1379.986,1361.976,1088.891,1070.88,926.838,908.8275,764.7852,746.7747,292.1027,270.2791,252.2686
GM3(d18:0/32:0),1379.986,1361.976,1088.891,1070.88,926.838,908.8275,764.7852,746.7747,292.1027,284.2948,266.2842
GM3(d19:0/31:0),1379.986,1361.976,1088.891,1070.88,926.838,908.8275,764.7852,746.7747,292.1027,298.3105,280.2999
GM3(d20:0/30:0),1379.986,1361.976,1088.891,1070.88,926.838,908.8275,764.7852,746.7747,292.1027,312.3261,294.3155
GM3(d21:0/29:0),1379.986,1361.976,1088.891,1070.88,926.838,908.8275,764.7852,746.7747,292.1027,326.3417,308.3312
GM3(d22:0/28:0),1379.986,1361.976,1088.891,1070.88,926.838,908.8275,764.7852,746.7747,292.1027,340.3574,322.3468
GM3(d23:0/27:0),1379.986,1361.976,1088.891,1070.88,926.838,908.8275,764.7852,746.7747,292.1027,354.373,336.3625
GM3(d24:0/26:0),1379.986,1361.976,1088.891,1070.88,926.838,908.8275,764.7852,746.7747,292.1027,368.3887,350.3781
GM3(d25:0/25:0),1379.986,1361.976,1088.891,1070.88,926.838,908.8275,764.7852,746.7747,292.1027,382.4044,364.3938
GM3(d26:0/24:0),1379.986,1361.976,1088.891,1070.88,926.838,908.8275,764.7852,746.7747,292.1027,396.42,378.4094
GM3(d27:0/23:0),1379.986,1361.976,1088.891,1070.88,926.838,908.8275,764.7852,746.7747,292.1027,410.4356,392.4251
GM3(d28:0/22:0),1379.986,1361.976,1088.891,1070.88,926.838,908.8275,764.7852,746.7747,292.1027,424.4513,406.4407
GM3(d29:0/21:0),1379.986,1361.976,1088.891,1070.88,926.838,908.8275,764.7852,746.7747,292.1027,438.4669,420.4564
GM3(d30:0/20:0),1379.986,1361.976,1088.891,1070.88,926.838,908.8275,764.7852,746.7747,292.1027,452.4826,434.472
GM3(d14:0/36:1),1377.971,1359.961,1086.876,1068.865,924.8231,906.8125,762.7702,744.7596,292.1027,228.2322,210.2216
GM3(d14:1/36:0),1377.971,1359.961,1086.876,1068.865,924.8231,906.8125,762.7702,744.7596,292.1027,226.2166,208.206
GM3(d15:0/35:1),1377.971,1359.961,1086.876,1068.865,924.8231,906.8125,762.7702,744.7596,292.1027,242.2478,224.2373
GM3(d15:1/35:0),1377.971,1359.961,1086.876,1068.865,924.8231,906.8125,762.7702,744.7596,292.1027,240.2322,222.2216
GM3(d16:0/34:1),1377.971,1359.961,1086.876,1068.865,924.8231,906.8125,762.7702,744.7596,292.1027,256.2635,238.2529
GM3(d16:1/34:0),1377.971,1359.961,1086.876,1068.865,924.8231,906.8125,762.7702,744.7596,292.1027,254.2478,236.2373
GM3(d17:0/33:1),1377.971,1359.961,1086.876,1068.865,924.8231,906.8125,762.7702,744.7596,292.1027,270.2791,252.2686
GM3(d17:1/33:0),1377.971,1359.961,1086.876,1068.865,924.8231,906.8125,762.7702,744.7596,292.1027,268.2635,250.2529
GM3(d18:0/32:1),1377.971,1359.961,1086.876,1068.865,924.8231,906.8125,762.7702,744.7596,292.1027,284.2948,266.2842
GM3(d18:1/32:0),1377.971,1359.961,1086.876,1068.865,924.8231,906.8125,762.7702,744.7596,292.1027,282.2791,264.2686
GM3(d19:0/31:1),1377.971,1359.961,1086.876,1068.865,924.8231,906.8125,762.7702,744.7596,292.1027,298.3105,280.2999
GM3(d19:1/31:0),1377.971,1359.961,1086.876,1068.865,924.8231,906.8125,762.7702,744.7596,292.1027,296.2948,278.2842
GM3(d20:0/30:1),1377.971,1359.961,1086.876,1068.865,924.8231,906.8125,762.7702,744.7596,292.1027,312.3261,294.3155
GM3(d20:1/30:0),1377.971,1359.961,1086.876,1068.865,924.8231,906.8125,762.7702,744.7596,292.1027,310.3105,292.2999
GM3(d21:0/29:1),1377.971,1359.961,1086.876,1068.865,924.8231,906.8125,762.7702,744.7596,292.1027,326.3417,308.3312
GM3(d21:1/29:0),1377.971,1359.961,1086.876,1068.865,924.8231,906.8125,762.7702,744.7596,292.1027,324.3261,306.3155
GM3(d22:0/28:1),1377.971,1359.961,1086.876,1068.865,924.8231,906.8125,762.7702,744.7596,292.1027,340.3574,322.3468
GM3(d22:1/28:0),1377.971,1359.961,1086.876,1068.865,924.8231,906.8125,762.7702,744.7596,292.1027,338.3417,320.3312
GM3(d23:0/27:1),1377.971,1359.961,1086.876,1068.865,924.8231,906.8125,762.7702,744.7596,292.1027,354.373,336.3625
GM3(d23:1/27:0),1377.971,1359.961,1086.876,1068.865,924.8231,906.8125,762.7702,744.7596,292.1027,352.3574,334.3468
GM3(d24:0/26:1),1377.971,1359.961,1086.876,1068.865,924.8231,906.8125,762.7702,744.7596,292.1027,368.3887,350.3781
GM3(d24:1/26:0),1377.971,1359.961,1086.876,1068.865,924.8231,906.8125,762.7702,744.7596,292.1027,366.373,348.3625
GM3(d25:0/25:1),1377.971,1359.961,1086.876,1068.865,924.8231,906.8125,762.7702,744.7596,292.1027,382.4044,364.3938
GM3(d25:1/25:0),1377.971,1359.961,1086.876,1068.865,924.8231,906.8125,762.7702,744.7596,292.1027,380.3887,362.3781
GM3(d26:0/24:1),1377.971,1359.961,1086.876,1068.865,924.8231,906.8125,762.7702,744.7596,292.1027,396.42,378.4094
GM3(d26:1/24:0),1377.971,1359.961,1086.876,1068.865,924.8231,906.8125,762.7702,744.7596,292.1027,394.4044,376.3938
GM3(d27:0/23:1),1377.971,1359.961,1086.876,1068.865,924.8231,906.8125,762.7702,744.7596,292.1027,410.4356,392.4251
GM3(d27:1/23:0),1377.971,1359.961,1086.876,1068.865,924.8231,906.8125,762.7702,744.7596,292.1027,408.42,390.4094
GM3(d28:0/22:1),1377.971,1359.961,1086.876,1068.865,924.8231,906.8125,762.7702,744.7596,292.1027,424.4513,406.4407
GM3(d28:1/22:0),1377.971,1359.961,1086.876,1068.865,924.8231,906.8125,762.7702,744.7596,292.1027,422.4356,404.4251
GM3(d29:0/21:1),1377.971,1359.961,1086.876,1068.865,924.8231,906.8125,762.7702,744.7596,292.1027,438.4669,420.4564
GM3(d29:1/21:0),1377.971,1359.961,1086.876,1068.865,924.8231,906.8125,762.7702,744.7596,292.1027,436.4513,418.4407
GM3(d30:0/20:1),1377.971,1359.961,1086.876,1068.865,924.8231,906.8125,762.7702,744.7596,292.1027,452.4826,434.472
GM3(d30:1/20:0),1377.971,1359.961,1086.876,1068.865,924.8231,906.8125,762.7702,744.7596,292.1027,450.4669,432.4564
GM3(d14:0/36:2),1375.955,1357.945,1084.86,1066.849,922.8071,904.7964,760.7542,742.7437,292.1027,228.2322,210.2216
GM3(d14:1/36:1),1375.955,1357.945,1084.86,1066.849,922.8071,904.7964,760.7542,742.7437,292.1027,226.2166,208.206
GM3(d15:1/35:1),1375.955,1357.945,1084.86,1066.849,922.8071,904.7964,760.7542,742.7437,292.1027,240.2322,222.2216
GM3(d16:0/34:2),1375.955,1357.945,1084.86,1066.849,922.8071,904.7964,760.7542,742.7437,292.1027,256.2635,238.2529
GM3(d16:1/34:1),1375.955,1357.945,1084.86,1066.849,922.8071,904.7964,760.7542,742.7437,292.1027,254.2478,236.2373
GM3(d17:1/33:1),1375.955,1357.945,1084.86,1066.849,922.8071,904.7964,760.7542,742.7437,292.1027,268.2635,250.2529
GM3(d18:0/32:2),1375.955,1357.945,1084.86,1066.849,922.8071,904.7964,760.7542,742.7437,292.1027,284.2948,266.2842
GM3(d18:1/32:1),1375.955,1357.945,1084.86,1066.849,922.8071,904.7964,760.7542,742.7437,292.1027,282.2791,264.2686
GM3(d19:1/31:1),1375.955,1357.945,1084.86,1066.849,922.8071,904.7964,760.7542,742.7437,292.1027,296.2948,278.2842
GM3(d20:0/30:2),1375.955,1357.945,1084.86,1066.849,922.8071,904.7964,760.7542,742.7437,292.1027,312.3261,294.3155
GM3(d20:1/30:1),1375.955,1357.945,1084.86,1066.849,922.8071,904.7964,760.7542,742.7437,292.1027,310.3105,292.2999
GM3(d21:1/29:1),1375.955,1357.945,1084.86,1066.849,922.8071,904.7964,760.7542,742.7437,292.1027,324.3261,306.3155
GM3(d22:0/28:2),1375.955,1357.945,1084.86,1066.849,922.8071,904.7964,760.7542,742.7437,292.1027,340.3574,322.3468
GM3(d22:1/28:1),1375.955,1357.945,1084.86,1066.849,922.8071,904.7964,760.7542,742.7437,292.1027,338.3417,320.3312
GM3(d23:1/27:1),1375.955,1357.945,1084.86,1066.849,922.8071,904.7964,760.7542,742.7437,292.1027,352.3574,334.3468
GM3(d24:0/26:2),1375.955,1357.945,1084.86,1066.849,922.8071,904.7964,760.7542,742.7437,292.1027,368.3887,350.3781
GM3(d24:1/26:1),1375.955,1357.945,1084.86,1066.849,922.8071,904.7964,760.7542,742.7437,292.1027,366.373,348.3625
GM3(d25:1/25:1),1375.955,1357.945,1084.86,1066.849,922.8071,904.7964,760.7542,742.7437,292.1027,380.3887,362.3781
GM3(d26:0/24:2),1375.955,1357.945,1084.86,1066.849,922.8071,904.7964,760.7542,742.7437,292.1027,396.42,378.4094
GM3(d26:1/24:1),1375.955,1357.945,1084.86,1066.849,922.8071,904.7964,760.7542,742.7437,292.1027,394.4044,376.3938
GM3(d27:1/23:1),1375.955,1357.945,1084.86,1066.849,922.8071,904.7964,760.7542,742.7437,292.1027,408.42,390.4094
GM3(d28:0/22:2),1375.955,1357.945,1084.86,1066.849,922.8071,904.7964,760.7542,742.7437,292.1027,424.4513,406.4407
GM3(d28:1/22:1),1375.955,1357.945,1084.86,1066.849,922.8071,904.7964,760.7542,742.7437,292.1027,422.4356,404.4251
GM3(d29:1/21:1),1375.955,1357.945,1084.86,1066.849,922.8071,904.7964,760.7542,742.7437,292.1027,436.4513,418.4407
GM3(d30:0/20:2),1375.955,1357.945,1084.86,1066.849,922.8071,904.7964,760.7542,742.7437,292.1027,452.4826,434.472
GM3(d30:1/20:1),1375.955,1357.945,1084.86,1066.849,922.8071,904.7964,760.7542,742.7437,292.1027,450.4669,432.4564
GM3(d14:1/36:2),1373.939,1355.929,1082.844,1064.833,920.791,902.7805,758.7382,740.7277,292.1027,226.2166,208.206
GM3(d16:1/34:2),1373.939,1355.929,1082.844,1064.833,920.791,902.7805,758.7382,740.7277,292.1027,254.2478,236.2373
GM3(d18:1/32:2),1373.939,1355.929,1082.844,1064.833,920.791,902.7805,758.7382,740.7277,292.1027,282.2791,264.2686
GM3(d20:1/30:2),1373.939,1355.929,1082.844,1064.833,920.791,902.7805,758.7382,740.7277,292.1027,310.3105,292.2999
GM3(d22:1/28:2),1373.939,1355.929,1082.844,1064.833,920.791,902.7805,758.7382,740.7277,292.1027,338.3417,320.3312
GM3(d24:1/26:2),1373.939,1355.929,1082.844,1064.833,920.791,902.7805,758.7382,740.7277,292.1027,366.373,348.3625
GM3(d26:1/24:2),1373.939,1355.929,1082.844,1064.833,920.791,902.7805,758.7382,740.7277,292.1027,394.4044,376.3938
GM3(d28:1/22:2),1373.939,1355.929,1082.844,1064.833,920.791,902.7805,758.7382,740.7277,292.1027,422.4356,404.4251
GM3(d30:1/20:2),1373.939,1355.929,1082.844,1064.833,920.791,902.7805,758.7382,740.7277,292.1027,450.4669,432.4564
GM3(d15:0/36:0),1394.002,1375.992,1102.907,1084.896,940.8541,922.8434,778.8012,760.7906,292.1027,242.2478,224.2373
GM3(d16:0/35:0),1394.002,1375.992,1102.907,1084.896,940.8541,922.8434,778.8012,760.7906,292.1027,256.2635,238.2529
GM3(d17:0/34:0),1394.002,1375.992,1102.907,1084.896,940.8541,922.8434,778.8012,760.7906,292.1027,270.2791,252.2686
GM3(d18:0/33:0),1394.002,1375.992,1102.907,1084.896,940.8541,922.8434,778.8012,760.7906,292.1027,284.2948,266.2842
GM3(d19:0/32:0),1394.002,1375.992,1102.907,1084.896,940.8541,922.8434,778.8012,760.7906,292.1027,298.3105,280.2999
GM3(d20:0/31:0),1394.002,1375.992,1102.907,1084.896,940.8541,922.8434,778.8012,760.7906,292.1027,312.3261,294.3155
GM3(d21:0/30:0),1394.002,1375.992,1102.907,1084.896,940.8541,922.8434,778.8012,760.7906,292.1027,326.3417,308.3312
GM3(d22:0/29:0),1394.002,1375.992,1102.907,1084.896,940.8541,922.8434,778.8012,760.7906,292.1027,340.3574,322.3468
GM3(d23:0/28:0),1394.002,1375.992,1102.907,1084.896,940.8541,922.8434,778.8012,760.7906,292.1027,354.373,336.3625
GM3(d24:0/27:0),1394.002,1375.992,1102.907,1084.896,940.8541,922.8434,778.8012,760.7906,292.1027,368.3887,350.3781
GM3(d25:0/26:0),1394.002,1375.992,1102.907,1084.896,940.8541,922.8434,778.8012,760.7906,292.1027,382.4044,364.3938
GM3(d26:0/25:0),1394.002,1375.992,1102.907,1084.896,940.8541,922.8434,778.8012,760.7906,292.1027,396.42,378.4094
GM3(d27:0/24:0),1394.002,1375.992,1102.907,1084.896,940.8541,922.8434,778.8012,760.7906,292.1027,410.4356,392.4251
GM3(d28:0/23:0),1394.002,1375.992,1102.907,1084.896,940.8541,922.8434,778.8012,760.7906,292.1027,424.4513,406.4407
GM3(d29:0/22:0),1394.002,1375.992,1102.907,1084.896,940.8541,922.8434,778.8012,760.7906,292.1027,438.4669,420.4564
GM3(d30:0/21:0),1394.002,1375.992,1102.907,1084.896,940.8541,922.8434,778.8012,760.7906,292.1027,452.4826,434.472
GM3(d15:0/36:1),1391.986,1373.976,1100.891,1082.88,938.838,920.8275,776.7852,758.7747,292.1027,242.2478,224.2373
GM3(d15:1/36:0),1391.986,1373.976,1100.891,1082.88,938.838,920.8275,776.7852,758.7747,292.1027,240.2322,222.2216
GM3(d16:0/35:1),1391.986,1373.976,1100.891,1082.88,938.838,920.8275,776.7852,758.7747,292.1027,256.2635,238.2529
GM3(d16:1/35:0),1391.986,1373.976,1100.891,1082.88,938.838,920.8275,776.7852,758.7747,292.1027,254.2478,236.2373
GM3(d17:0/34:1),1391.986,1373.976,1100.891,1082.88,938.838,920.8275,776.7852,758.7747,292.1027,270.2791,252.2686
GM3(d17:1/34:0),1391.986,1373.976,1100.891,1082.88,938.838,920.8275,776.7852,758.7747,292.1027,268.2635,250.2529
GM3(d18:0/33:1),1391.986,1373.976,1100.891,1082.88,938.838,920.8275,776.7852,758.7747,292.1027,284.2948,266.2842
GM3(d18:1/33:0),1391.986,1373.976,1100.891,1082.88,938.838,920.8275,776.7852,758.7747,292.1027,282.2791,264.2686
GM3(d19:0/32:1),1391.986,1373.976,1100.891,1082.88,938.838,920.8275,776.7852,758.7747,292.1027,298.3105,280.2999
GM3(d19:1/32:0),1391.986,1373.976,1100.891,1082.88,938.838,920.8275,776.7852,758.7747,292.1027,296.2948,278.2842
GM3(d20:0/31:1),1391.986,1373.976,1100.891,1082.88,938.838,920.8275,776.7852,758.7747,292.1027,312.3261,294.3155
GM3(d20:1/31:0),1391.986,1373.976,1100.891,1082.88,938.838,920.8275,776.7852,758.7747,292.1027,310.3105,292.2999
GM3(d21:0/30:1),1391.986,1373.976,1100.891,1082.88,938.838,920.8275,776.7852,758.7747,292.1027,326.3417,308.3312
GM3(d21:1/30:0),1391.986,1373.976,1100.891,1082.88,938.838,920.8275,776.7852,758.7747,292.1027,324.3261,306.3155
GM3(d22:0/29:1),1391.986,1373.976,1100.891,1082.88,938.838,920.8275,776.7852,758.7747,292.1027,340.3574,322.3468
GM3(d22:1/29:0),1391.986,1373.976,1100.891,1082.88,938.838,920.8275,776.7852,758.7747,292.1027,338.3417,320.3312
GM3(d23:0/28:1),1391.986,1373.976,1100.891,1082.88,938.838,920.8275,776.7852,758.7747,292.1027,354.373,336.3625
GM3(d23:1/28:0),1391.986,1373.976,1100.891,1082.88,938.838,920.8275,776.7852,758.7747,292.1027,352.3574,334.3468
GM3(d24:0/27:1),1391.986,1373.976,1100.891,1082.88,938.838,920.8275,776.7852,758.7747,292.1027,368.3887,350.3781
GM3(d24:1/27:0),1391.986,1373.976,1100.891,1082.88,938.838,920.8275,776.7852,758.7747,292.1027,366.373,348.3625
GM3(d25:0/26:1),1391.986,1373.976,1100.891,1082.88,938.838,920.8275,776.7852,758.7747,292.1027,382.4044,364.3938
GM3(d25:1/26:0),1391.986,1373.976,1100.891,1082.88,938.838,920.8275,776.7852,758.7747,292.1027,380.3887,362.3781
GM3(d26:0/25:1),1391.986,1373.976,1100.891,1082.88,938.838,920.8275,776.7852,758.7747,292.1027,396.42,378.4094
GM3(d26:1/25:0),1391.986,1373.976,1100.891,1082.88,938.838,920.8275,776.7852,758.7747,292.1027,394.4044,376.3938
GM3(d27:0/24:1),1391.986,1373.976,1100.891,1082.88,938.838,920.8275,776.7852,758.7747,292.1027,410.4356,392.4251
GM3(d27:1/24:0),1391.986,1373.976,1100.891,1082.88,938.838,920.8275,776.7852,758.7747,292.1027,408.42,390.4094
GM3(d28:0/23:1),1391.986,1373.976,1100.891,1082.88,938.838,920.8275,776.7852,758.7747,292.1027,424.4513,406.4407
GM3(d28:1/23:0),1391.986,1373.976,1100.891,1082.88,938.838,920.8275,776.7852,758.7747,292.1027,422.4356,404.4251
GM3(d29:0/22:1),1391.986,1373.976,1100.891,1082.88,938.838,920.8275,776.7852,758.7747,292.1027,438.4669,420.4564
GM3(d29:1/22:0),1391.986,1373.976,1100.891,1082.88,938.838,920.8275,776.7852,758.7747,292.1027,436.4513,418.4407
GM3(d30:0/21:1),1391.986,1373.976,1100.891,1082.88,938.838,920.8275,776.7852,758.7747,292.1027,452.4826,434.472
GM3(d30:1/21:0),1391.986,1373.976,1100.891,1082.88,938.838,920.8275,776.7852,758.7747,292.1027,450.4669,432.4564
GM3(d15:0/36:2),1389.971,1371.961,1098.876,1080.865,936.8231,918.8125,774.7702,756.7596,292.1027,242.2478,224.2373
GM3(d15:1/36:1),1389.971,1371.961,1098.876,1080.865,936.8231,918.8125,774.7702,756.7596,292.1027,240.2322,222.2216
GM3(d16:1/35:1),1389.971,1371.961,1098.876,1080.865,936.8231,918.8125,774.7702,756.7596,292.1027,254.2478,236.2373
GM3(d17:0/34:2),1389.971,1371.961,1098.876,1080.865,936.8231,918.8125,774.7702,756.7596,292.1027,270.2791,252.2686
GM3(d17:1/34:1),1389.971,1371.961,1098.876,1080.865,936.8231,918.8125,774.7702,756.7596,292.1027,268.2635,250.2529
GM3(d18:1/33:1),1389.971,1371.961,1098.876,1080.865,936.8231,918.8125,774.7702,756.7596,292.1027,282.2791,264.2686
GM3(d19:0/32:2),1389.971,1371.961,1098.876,1080.865,936.8231,918.8125,774.7702,756.7596,292.1027,298.3105,280.2999
GM3(d19:1/32:1),1389.971,1371.961,1098.876,1080.865,936.8231,918.8125,774.7702,756.7596,292.1027,296.2948,278.2842
GM3(d20:1/31:1),1389.971,1371.961,1098.876,1080.865,936.8231,918.8125,774.7702,756.7596,292.1027,310.3105,292.2999
GM3(d21:0/30:2),1389.971,1371.961,1098.876,1080.865,936.8231,918.8125,774.7702,756.7596,292.1027,326.3417,308.3312
GM3(d21:1/30:1),1389.971,1371.961,1098.876,1080.865,936.8231,918.8125,774.7702,756.7596,292.1027,324.3261,306.3155
GM3(d22:1/29:1),1389.971,1371.961,1098.876,1080.865,936.8231,918.8125,774.7702,756.7596,292.1027,338.3417,320.3312
GM3(d23:0/28:2),1389.971,1371.961,1098.876,1080.865,936.8231,918.8125,774.7702,756.7596,292.1027,354.373,336.3625
GM3(d23:1/28:1),1389.971,1371.961,1098.876,1080.865,936.8231,918.8125,774.7702,756.7596,292.1027,352.3574,334.3468
