GM3,[M+H]+,[M-H2O+H]+,[M-C11H17NO8+H]+,[M-C11H15NO7+H]+,[M-C17H27NO13+H]+,[M-C17H25NO12+H]+,[M-C23H37NO18+H]+,[M-C23H35NO17+H]+,[C11H17NO8+H]+,[Sph+H]+,[Sph-H2O+H]+
GM3(d22:0/20:0),1267.861,1249.851,976.7659,958.7553,814.713,796.7025,652.6602,634.6497,292.1027,340.3574,322.3468
GM3(d23:0/19:0),1267.861,1249.851,976.7659,958.7553,814.713,796.7025,652.6602,634.6497,292.1027,354.373,336.3625
GM3(d24:0/18:0),1267.861,1249.851,976.7659,958.7553,814.713,796.7025,652.6602,634.6497,292.1027,368.3887,350.3781
GM3(d25:0/17:0),1267.861,1249.851,976.7659,958.7553,814.713,796.7025,652.6602,634.6497,292.1027,382.4044,364.3938
GM3(d26:0/16:0),1267.861,1249.851,976.7659,958.7553,814.713,796.7025,652.6602,634.6497,292.1027,396.42,378.4094
GM3(d27:0/15:0),1267.861,1249.851,976.7659,958.7553,814.713,796.7025,652.6602,634.6497,292.1027,410.4356,392.4251
GM3(d28:0/14:0),1267.861,1249.851,976.7659,958.7553,814.713,796.7025,652.6602,634.6497,292.1027,424.4513,406.4407
GM3(d29:0/13:0),1267.861,1249.851,976.7659,958.7553,814.713,796.7025,652.6602,634.6497,292.1027,438.4669,420.4564
GM3(d30:0/12:0),1267.861,1249.851,976.7659,958.7553,814.713,796.7025,652.6602,634.6497,292.1027,452.4826,434.472
GM3(d14:0/28:1),1265.845,1247.835,974.7499,956.7393,812.697,794.6865,650.6442,632.6337,292.1027,228.2322,210.2216
GM3(d14:1/28:0),1265.845,1247.835,974.7499,956.7393,812.697,794.6865,650.6442,632.6337,292.1027,226.2166,208.206
GM3(d15:0/27:1),1265.845,1247.835,974.7499,956.7393,812.697,794.6865,650.6442,632.6337,292.1027,242.2478,224.2373
GM3(d15:1/27:0),1265.845,1247.835,974.7499,956.7393,812.697,794.6865,650.6442,632.6337,292.1027,240.2322,222.2216
GM3(d16:0/26:1),1265.845,1247.835,974.7499,956.7393,812.697,794.6865,650.6442,632.6337,292.1027,256.2635,238.2529
GM3(d16:1/26:0),1265.845,1247.835,974.7499,956.7393,812.697,794.6865,650.6442,632.6337,292.1027,254.2478,236.2373
GM3(d17:0/25:1),1265.845,1247.835,974.7499,956.7393,812.697,794.6865,650.6442,632.6337,292.1027,270.2791,252.2686
GM3(d17:1/25:0),1265.845,1247.835,974.7499,956.7393,812.697,794.6865,650.6442,632.6337,292.1027,268.2635,250.2529
GM3(d18:0/24:1),1265.845,1247.835,974.7499,956.7393,812.697,794.6865,650.6442,632.6337,292.1027,284.2948,266.2842
GM3(d18:1/24:0),1265.845,1247.835,974.7499,956.7393,812.697,794.6865,650.6442,632.6337,292.1027,282.2791,264.2686
GM3(d19:0/23:1),1265.845,1247.835,974.7499,956.7393,812.697,794.6865,650.6442,632.6337,292.1027,298.3105,280.2999
GM3(d19:1/23:0),1265.845,1247.835,974.7499,956.7393,812.697,794.6865,650.6442,632.6337,292.1027,296.2948,278.2842
GM3(d20:0/22:1),1265.845,1247.835,974.7499,956.7393,812.697,794.6865,650.6442,632.6337,292.1027,312.3261,294.3155
GM3(d20:1/22:0),1265.845,1247.835,974.7499,956.7393,812.697,794.6865,650.6442,632.6337,292.1027,310.3105,292.2999
GM3(d21:0/21:1),1265.845,1247.835,974.7499,956.7393,812.697,794.6865,650.6442,632.6337,292.1027,326.3417,308.3312
GM3(d21:1/21:0),1265.845,1247.835,974.7499,956.7393,812.697,794.6865,650.6442,632.6337,292.1027,324.3261,306.3155
GM3(d22:0/20:1),1265.845,1247.835,974.7499,956.7393,812.697,794.6865,650.6442,632.6337,292.1027,340.3574,322.3468
GM3(d22:1/20:0),1265.845,1247.835,974.7499,956.7393,812.697,794.6865,650.6442,632.6337,292.1027,338.3417,320.3312
GM3(d23:0/19:1),1265.845,1247.835,974.7499,956.7393,812.697,794.6865,650.6442,632.6337,292.1027,354.373,336.3625
GM3(d23:1/19:0),1265.845,1247.835,974.7499,956.7393,812.697,794.6865,650.6442,632.6337,292.1027,352.3574,334.3468
GM3(d24:0/18:1),1265.845,1247.835,974.7499,956.7393,812.697,794.6865,650.6442,632.6337,292.1027,368.3887,350.3781
GM3(d24:1/18:0),1265.845,1247.835,974.7499,956.7393,812.697,794.6865,650.6442,632.6337,292.1027,366.373,348.3625
GM3(d25:1/17:0),1265.845,1247.835,974.7499,956.7393,812.697,794.6865,650.6442,632.6337,292.1027,380.3887,362.3781
GM3(d26:0/16:1),1265.845,1247.835,974.7499,956.7393,812.697,794.6865,650.6442,632.6337,292.1027,396.42,378.4094
GM3(d26:1/16:0),1265.845,1247.835,974.7499,956.7393,812.697,794.6865,650.6442,632.6337,292.1027,394.4044,376.3938
