"PE","[M+H]+","[M-PE head]+","[M+H-acyl1_RCO]+","[M+H-acyl2_RCO]+","[acyl1_RCO]+","[acyl2_RCO]+"
"PE(36:4) PE(14:1_22:3)",740.52258,599.50347,391.32072,283.22682,209.19005,317.28395
"PE(36:5) PE(14:1_22:4)",738.50688,597.48777,389.30502,283.22682,209.19005,315.26825
"PE(36:6) PE(14:1_22:5)",736.49128,595.47217,387.28942,283.22682,209.19005,313.25265
"PE(36:7) PE(14:1_22:6)",734.47558,593.45647,385.27372,283.22682,209.19005,311.23695
"PE(37:1) PE(14:1_23:0)",760.58518,619.56607,411.38332,283.22682,209.19005,337.34655
"PE(38:1) PE(14:1_24:0)",774.60078,633.58167,425.39892,283.22682,209.19005,351.36215
"PE(38:2) PE(14:1_24:1)",772.58518,631.56607,423.38332,283.22682,209.19005,349.34655
"PE(39:1) PE(14:1_25:0)",788.61648,647.59737,439.41462,283.22682,209.19005,365.37785
"PE(40:1) PE(14:1_26:0)",802.63208,661.61297,453.43022,283.22682,209.19005,379.39345
"PE(30:0) PE(15:0_15:0)",664.49128,523.47217,299.25812,299.25812,225.22135,225.22135
"PE(30:1) PE(15:0_15:1)",662.47558,521.45647,297.24242,299.25812,225.22135,223.20565
"PE(31:0) PE(15:0_16:0)",678.50688,537.48777,313.27372,299.25812,225.22135,239.23695
"PE(31:1) PE(15:0_16:1)",676.49128,535.47217,311.25812,299.25812,225.22135,237.22135
"PE(32:0) PE(15:0_17:0)",692.52258,551.50347,327.28942,299.25812,225.22135,253.25265
"PE(32:1) PE(15:0_17:1)",690.50688,549.48777,325.27372,299.25812,225.22135,251.23695
"PE(32:2) PE(15:0_17:2)",688.49128,547.47217,323.25812,299.25812,225.22135,249.22135
"PE(33:0) PE(15:0_18:0)",706.53818,565.51907,341.30502,299.25812,225.22135,267.26825
"PE(33:1) PE(15:0_18:1)",704.52258,563.50347,339.28942,299.25812,225.22135,265.25265
"PE(33:2) PE(15:0_18:2)",702.50688,561.48777,337.27372,299.25812,225.22135,263.23695
"PE(33:3) PE(15:0_18:3)",700.49128,559.47217,335.25812,299.25812,225.22135,261.22135
"PE(33:4) PE(15:0_18:4)",698.47558,557.45647,333.24242,299.25812,225.22135,259.20565
"PE(34:0) PE(15:0_19:0)",720.55388,579.53477,355.32072,299.25812,225.22135,281.28395
"PE(35:0) PE(15:0_20:0)",734.56948,593.55037,369.33632,299.25812,225.22135,295.29955
"PE(35:1) PE(15:0_20:1)",732.55388,591.53477,367.32072,299.25812,225.22135,293.28395
"PE(35:2) PE(15:0_20:2)",730.53818,589.51907,365.30502,299.25812,225.22135,291.26825
"PE(35:3) PE(15:0_20:3)",728.52258,587.50347,363.28942,299.25812,225.22135,289.25265
"PE(35:4) PE(15:0_20:4)",726.50688,585.48777,361.27372,299.25812,225.22135,287.23695
"PE(35:5) PE(15:0_20:5)",724.49128,583.47217,359.25812,299.25812,225.22135,285.22135
"PE(36:0) PE(15:0_21:0)",748.58518,607.56607,383.35202,299.25812,225.22135,309.31525
"PE(37:0) PE(15:0_22:0)",762.60078,621.58167,397.36762,299.25812,225.22135,323.33085
"PE(37:1) PE(15:0_22:1)",760.58518,619.56607,395.35202,299.25812,225.22135,321.31525
"PE(37:2) PE(15:0_22:2)",758.56948,617.55037,393.33632,299.25812,225.22135,319.29955
"PE(37:3) PE(15:0_22:3)",756.55388,615.53477,391.32072,299.25812,225.22135,317.28395
"PE(37:4) PE(15:0_22:4)",754.53818,613.51907,389.30502,299.25812,225.22135,315.26825
"PE(37:5) PE(15:0_22:5)",752.52258,611.50347,387.28942,299.25812,225.22135,313.25265
"PE(37:6) PE(15:0_22:6)",750.50688,609.48777,385.27372,299.25812,225.22135,311.23695
"PE(38:0) PE(15:0_23:0)",776.61648,635.59737,411.38332,299.25812,225.22135,337.34655
"PE(39:0) PE(15:0_24:0)",790.63208,649.61297,425.39892,299.25812,225.22135,351.36215
"PE(39:1) PE(15:0_24:1)",788.61648,647.59737,423.38332,299.25812,225.22135,349.34655
"PE(40:0) PE(15:0_25:0)",804.64778,663.62867,439.41462,299.25812,225.22135,365.37785
"PE(41:0) PE(15:0_26:0)",818.66338,677.64427,453.43022,299.25812,225.22135,379.39345
"PE(30:2) PE(15:1_15:1)",660.45988,519.44077,297.24242,297.24242,223.20565,223.20565
"PE(31:1) PE(15:1_16:0)",676.49118,535.47207,313.27372,297.24242,223.20565,239.23695
"PE(31:2) PE(15:1_16:1)",674.47558,533.45647,311.25812,297.24242,223.20565,237.22135
"PE(32:1) PE(15:1_17:0)",690.50688,549.48777,327.28942,297.24242,223.20565,253.25265
"PE(32:2) PE(15:1_17:1)",688.49118,547.47207,325.27372,297.24242,223.20565,251.23695
"PE(32:3) PE(15:1_17:2)",686.47558,545.45647,323.25812,297.24242,223.20565,249.22135
"PE(33:1) PE(15:1_18:0)",704.52248,563.50337,341.30502,297.24242,223.20565,267.26825
"PE(33:2) PE(15:1_18:1)",702.50688,561.48777,339.28942,297.24242,223.20565,265.25265
"PE(33:3) PE(15:1_18:2)",700.49118,559.47207,337.27372,297.24242,223.20565,263.23695
"PE(33:4) PE(15:1_18:3)",698.47558,557.45647,335.25812,297.24242,223.20565,261.22135
"PE(33:5) PE(15:1_18:4)",696.45988,555.44077,333.24242,297.24242,223.20565,259.20565
"PE(34:1) PE(15:1_19:0)",718.53818,577.51907,355.32072,297.24242,223.20565,281.28395
"PE(35:1) PE(15:1_20:0)",732.55378,591.53467,369.33632,297.24242,223.20565,295.29955
"PE(35:2) PE(15:1_20:1)",730.53818,589.51907,367.32072,297.24242,223.20565,293.28395
"PE(35:3) PE(15:1_20:2)",728.52248,587.50337,365.30502,297.24242,223.20565,291.26825
"PE(35:4) PE(15:1_20:3)",726.50688,585.48777,363.28942,297.24242,223.20565,289.25265
"PE(35:5) PE(15:1_20:4)",724.49118,583.47207,361.27372,297.24242,223.20565,287.23695
"PE(35:6) PE(15:1_20:5)",722.47558,581.45647,359.25812,297.24242,223.20565,285.22135
"PE(36:1) PE(15:1_21:0)",746.56948,605.55037,383.35202,297.24242,223.20565,309.31525
"PE(37:1) PE(15:1_22:0)",760.58508,619.56597,397.36762,297.24242,223.20565,323.33085
"PE(37:2) PE(15:1_22:1)",758.56948,617.55037,395.35202,297.24242,223.20565,321.31525
"PE(37:3) PE(15:1_22:2)",756.55378,615.53467,393.33632,297.24242,223.20565,319.29955
"PE(37:4) PE(15:1_22:3)",754.53818,613.51907,391.32072,297.24242,223.20565,317.28395
"PE(37:5) PE(15:1_22:4)",752.52248,611.50337,389.30502,297.24242,223.20565,315.26825
"PE(37:6) PE(15:1_22:5)",750.50688,609.48777,387.28942,297.24242,223.20565,313.25265
"PE(37:7) PE(15:1_22:6)",748.49118,607.47207,385.27372,297.24242,223.20565,311.23695
"PE(38:1) PE(15:1_23:0)",774.60078,633.58167,411.38332,297.24242,223.20565,337.34655
"PE(39:1) PE(15:1_24:0)",788.61638,647.59727,425.39892,297.24242,223.20565,351.36215
