"PG","[M+Na]+","[M+Na-194]+","[C3H9NaO6P]+","[M+H-R1]+","[M+H-R2]+"
"PG(37:0) PG(15:0_22:0)",815.57731,621.5816908,195.0034442,299.2581,397.3676
"PG(37:1) PG(15:0_22:1)",813.56171,619.5660908,195.0034442,299.2581,395.352
"PG(37:2) PG(15:0_22:2)",811.54601,617.5503908,195.0034442,299.2581,393.3363
"PG(37:3) PG(15:0_22:3)",809.53041,615.5347908,195.0034442,299.2581,391.3207
"PG(37:4) PG(15:0_22:4)",807.51471,613.5190908,195.0034442,299.2581,389.305
"PG(37:5) PG(15:0_22:5)",805.49911,611.5034908,195.0034442,299.2581,387.2894
"PG(37:6) PG(15:0_22:6)",803.48341,609.4877908,195.0034442,299.2581,385.2737
"PG(38:0) PG(15:0_23:0)",829.59301,635.5973908,195.0034442,299.2581,411.3833
"PG(39:0) PG(15:0_24:0)",843.60861,649.6129908,195.0034442,299.2581,425.3989
"PG(39:1) PG(15:0_24:1)",841.59301,647.5973908,195.0034442,299.2581,423.3833
"PG(40:0) PG(15:0_25:0)",857.62431,663.6286908,195.0034442,299.2581,439.4146
"PG(41:0) PG(15:0_26:0)",871.63991,677.6442908,195.0034442,299.2581,453.4302
"PG(30:2) PG(15:1_15:1)",713.43641,519.4407908,195.0034442,297.2424,297.2424
"PG(31:1) PG(15:1_16:0)",729.46771,535.4720908,195.0034442,297.2424,313.2737
"PG(31:2) PG(15:1_16:1)",727.45211,533.4564908,195.0034442,297.2424,311.2581
"PG(32:1) PG(15:1_17:0)",743.48341,549.4877908,195.0034442,297.2424,327.2894
"PG(32:2) PG(15:1_17:1)",741.46771,547.4720908,195.0034442,297.2424,325.2737
"PG(32:3) PG(15:1_17:2)",739.45211,545.4564908,195.0034442,297.2424,323.2581
"PG(33:1) PG(15:1_18:0)",757.49901,563.5033908,195.0034442,297.2424,341.305
"PG(33:2) PG(15:1_18:1)",755.48341,561.4877908,195.0034442,297.2424,339.2894
"PG(33:3) PG(15:1_18:2)",753.46771,559.4720908,195.0034442,297.2424,337.2737
"PG(33:4) PG(15:1_18:3)",751.45211,557.4564908,195.0034442,297.2424,335.2581
"PG(33:5) PG(15:1_18:4)",749.43641,555.4407908,195.0034442,297.2424,333.2424
"PG(34:1) PG(15:1_19:0)",771.51471,577.5190908,195.0034442,297.2424,355.3207
"PG(35:1) PG(15:1_20:0)",785.53031,591.5346908,195.0034442,297.2424,369.3363
"PG(35:2) PG(15:1_20:1)",783.51471,589.5190908,195.0034442,297.2424,367.3207
"PG(35:3) PG(15:1_20:2)",781.49901,587.5033908,195.0034442,297.2424,365.305
"PG(35:4) PG(15:1_20:3)",779.48341,585.4877908,195.0034442,297.2424,363.2894
"PG(35:5) PG(15:1_20:4)",777.46771,583.4720908,195.0034442,297.2424,361.2737
"PG(35:6) PG(15:1_20:5)",775.45211,581.4564908,195.0034442,297.2424,359.2581
"PG(36:1) PG(15:1_21:0)",799.54601,605.5503908,195.0034442,297.2424,383.352
"PG(37:1) PG(15:1_22:0)",813.56161,619.5659908,195.0034442,297.2424,397.3676
"PG(37:2) PG(15:1_22:1)",811.54601,617.5503908,195.0034442,297.2424,395.352
"PG(37:3) PG(15:1_22:2)",809.53031,615.5346908,195.0034442,297.2424,393.3363
"PG(37:4) PG(15:1_22:3)",807.51471,613.5190908,195.0034442,297.2424,391.3207
"PG(37:5) PG(15:1_22:4)",805.49901,611.5033908,195.0034442,297.2424,389.305
