Plasmenyl-PE,[M+H]+,[M+H-PE]+,[M+H-acyl-sn2-RCO]+,[acyl-sn2-RCO]+,[acyl-sn2-RCOO+58]+,[M+H-acyl-sn2-glycerol]+
Plasmenyl-PE(P-20:0/14:0),704.55886,563.53975,353.3414,211.20565,285.24243,448.3555706
Plasmenyl-PE(P-20:0/14:1),702.54326,561.52415,353.3414,209.19005,283.22683,448.3555706
Plasmenyl-PE(P-20:0/15:0),718.57456,577.55545,353.3414,225.22135,299.25813,448.3555706
Plasmenyl-PE(P-20:0/15:1),716.55886,575.53975,353.3414,223.20565,297.24243,448.3555706
Plasmenyl-PE(P-20:0/16:0),732.59016,591.57105,353.3414,239.23695,313.27373,448.3555706
Plasmenyl-PE(P-20:0/16:1),730.57456,589.55545,353.3414,237.22135,311.25813,448.3555706
Plasmenyl-PE(P-20:0/17:0),746.60586,605.58675,353.3414,253.25265,327.28943,448.3555706
Plasmenyl-PE(P-20:0/17:1),744.59016,603.57105,353.3414,251.23695,325.27373,448.3555706
Plasmenyl-PE(P-20:0/17:2),742.57456,601.55545,353.3414,249.22135,323.25813,448.3555706
Plasmenyl-PE(P-20:0/18:0),760.62146,619.60235,353.3414,267.26825,341.30503,448.3555706
Plasmenyl-PE(P-20:0/18:1),758.60586,617.58675,353.3414,265.25265,339.28943,448.3555706
Plasmenyl-PE(P-20:0/18:2),756.59016,615.57105,353.3414,263.23695,337.27373,448.3555706
Plasmenyl-PE(P-20:0/18:3),754.57456,613.55545,353.3414,261.22135,335.25813,448.3555706
Plasmenyl-PE(P-20:0/18:4),752.55886,611.53975,353.3414,259.20565,333.24243,448.3555706
Plasmenyl-PE(P-20:0/19:0),774.63716,633.61805,353.3414,281.28395,355.32073,448.3555706
Plasmenyl-PE(P-20:0/20:0),788.65276,647.63365,353.3414,295.29955,369.33633,448.3555706
Plasmenyl-PE(P-20:0/20:1),786.63716,645.61805,353.3414,293.28395,367.32073,448.3555706
Plasmenyl-PE(P-20:0/20:2),784.62146,643.60235,353.3414,291.26825,365.30503,448.3555706
Plasmenyl-PE(P-20:0/20:3),782.60586,641.58675,353.3414,289.25265,363.28943,448.3555706
Plasmenyl-PE(P-20:0/20:4),780.59016,639.57105,353.3414,287.23695,361.27373,448.3555706
Plasmenyl-PE(P-20:0/20:5),778.57456,637.55545,353.3414,285.22135,359.25813,448.3555706
Plasmenyl-PE(P-20:0/21:0),802.66846,661.64935,353.3414,309.31525,383.35203,448.3555706
Plasmenyl-PE(P-20:0/22:0),816.68406,675.66495,353.3414,323.33085,397.36763,448.3555706
Plasmenyl-PE(P-20:0/22:1),814.66846,673.64935,353.3414,321.31525,395.35203,448.3555706
Plasmenyl-PE(P-20:0/22:2),812.65276,671.63365,353.3414,319.29955,393.33633,448.3555706
Plasmenyl-PE(P-20:0/22:3),810.63716,669.61805,353.3414,317.28395,391.32073,448.3555706
Plasmenyl-PE(P-20:0/22:4),808.62146,667.60235,353.3414,315.26825,389.30503,448.3555706
Plasmenyl-PE(P-20:0/22:5),806.60586,665.58675,353.3414,313.25265,387.28943,448.3555706
Plasmenyl-PE(P-20:0/22:6),804.59016,663.57105,353.3414,311.23695,385.27373,448.3555706
Plasmenyl-PE(P-20:0/23:0),830.69976,689.68065,353.3414,337.34655,411.38333,448.3555706
Plasmenyl-PE(P-20:0/24:0),844.71536,703.69625,353.3414,351.36215,425.39893,448.3555706
Plasmenyl-PE(P-20:0/24:1),842.69976,701.68065,353.3414,349.34655,423.38333,448.3555706
Plasmenyl-PE(P-20:0/25:0),858.73106,717.71195,353.3414,365.37785,439.41463,448.3555706
Plasmenyl-PE(P-20:0/26:0),872.74666,731.72755,353.3414,379.39345,453.43023,448.3555706
Plasmenyl-PE(P-20:0/8:0),620.46496,479.44585,353.3414,127.11175,201.14853,448.3555706
Plasmenyl-PE(P-20:1/10:0),646.48066,505.46155,351.3258,155.14305,229.17983,446.3399206
Plasmenyl-PE(P-20:1/12:0),674.51196,533.49285,351.3258,183.17435,257.21113,446.3399206
Plasmenyl-PE(P-20:1/13:0),688.52766,547.50855,351.3258,197.19005,271.22683,446.3399206
Plasmenyl-PE(P-20:1/14:0),702.54326,561.52415,351.3258,211.20565,285.24243,446.3399206
Plasmenyl-PE(P-20:1/14:1),700.52766,559.50855,351.3258,209.19005,283.22683,446.3399206
Plasmenyl-PE(P-20:1/15:0),716.55896,575.53985,351.3258,225.22135,299.25813,446.3399206
Plasmenyl-PE(P-20:1/15:1),714.54326,573.52415,351.3258,223.20565,297.24243,446.3399206
Plasmenyl-PE(P-20:1/16:0),730.57456,589.55545,351.3258,239.23695,313.27373,446.3399206
Plasmenyl-PE(P-20:1/16:1),728.55896,587.53985,351.3258,237.22135,311.25813,446.3399206
Plasmenyl-PE(P-20:1/17:0),744.59026,603.57115,351.3258,253.25265,327.28943,446.3399206
Plasmenyl-PE(P-20:1/17:1),742.57456,601.55545,351.3258,251.23695,325.27373,446.3399206
Plasmenyl-PE(P-20:1/17:2),740.55896,599.53985,351.3258,249.22135,323.25813,446.3399206
Plasmenyl-PE(P-20:1/18:0),758.60586,617.58675,351.3258,267.26825,341.30503,446.3399206
Plasmenyl-PE(P-20:1/18:1),756.59026,615.57115,351.3258,265.25265,339.28943,446.3399206
Plasmenyl-PE(P-20:1/18:2),754.57456,613.55545,351.3258,263.23695,337.27373,446.3399206
Plasmenyl-PE(P-20:1/18:3),752.55896,611.53985,351.3258,261.22135,335.25813,446.3399206
