"DG","[M+Na]+","[M+H-H2O]+","[M+H-R1-2H2O]+","[M+H-R2-2H2O]+","[R1CO]+","[R2CO]+","[R1CO-H2O]+","[R2CO-H2O]+"
"DG(33:0) DG(13:0_20:0)",605.5116,565.5191,369.3363,271.2268,197.19,295.2995,179.1795,277.289
"DG(33:1) DG(13:0_20:1)",603.496,563.5035,367.3207,271.2268,197.19,293.2839,179.1795,275.2734
"DG(33:2) DG(13:0_20:2)",601.4803,561.4878,365.305,271.2268,197.19,291.2682,179.1795,273.2577
"DG(33:3) DG(13:0_20:3)",599.4647,559.4722,363.2894,271.2268,197.19,289.2526,179.1795,271.2421
"DG(33:4) DG(13:0_20:4)",597.449,557.4565,361.2737,271.2268,197.19,287.2369,179.1795,269.2264
"DG(33:5) DG(13:0_20:5)",595.4334,555.4409,359.2581,271.2268,197.19,285.2213,179.1795,267.2108
"DG(34:0) DG(13:0_21:0)",619.5273,579.5348,383.352,271.2268,197.19,309.3152,179.1795,291.3047
"DG(35:0) DG(13:0_22:0)",633.5429,593.5504,397.3676,271.2268,197.19,323.3308,179.1795,305.3203
"DG(35:1) DG(13:0_22:1)",631.5273,591.5348,395.352,271.2268,197.19,321.3152,179.1795,303.3047
"DG(35:2) DG(13:0_22:2)",629.5116,589.5191,393.3363,271.2268,197.19,319.2995,179.1795,301.289
"DG(35:3) DG(13:0_22:3)",627.496,587.5035,391.3207,271.2268,197.19,317.2839,179.1795,299.2734
"DG(35:4) DG(13:0_22:4)",625.4803,585.4878,389.305,271.2268,197.19,315.2682,179.1795,297.2577
"DG(35:5) DG(13:0_22:5)",623.4647,583.4722,387.2894,271.2268,197.19,313.2526,179.1795,295.2421
"DG(35:6) DG(13:0_22:6)",621.449,581.4565,385.2737,271.2268,197.19,311.2369,179.1795,293.2264
"DG(36:0) DG(13:0_23:0)",647.5586,607.5661,411.3833,271.2268,197.19,337.3465,179.1795,319.336
"DG(37:0) DG(13:0_24:0)",661.5742,621.5817,425.3989,271.2268,197.19,351.3621,179.1795,333.3516
"DG(37:1) DG(13:0_24:1)",659.5586,619.5661,423.3833,271.2268,197.19,349.3465,179.1795,331.336
"DG(38:0) DG(13:0_25:0)",675.5899,635.5974,439.4146,271.2268,197.19,365.3778,179.1795,347.3673
"DG(39:0) DG(13:0_26:0)",689.6055,649.613,453.4302,271.2268,197.19,379.3934,179.1795,361.3829
"DG(28:0) DG(14:0_14:0)",535.4333,495.4408,285.2424,285.2424,211.2056,211.2056,193.1951,193.1951
"DG(28:1) DG(14:0_14:1)",533.4177,493.4252,283.2268,285.2424,211.2056,209.19,193.1951,191.1795
"DG(29:0) DG(14:0_15:0)",549.449,509.4565,299.2581,285.2424,211.2056,225.2213,193.1951,207.2108
"DG(29:1) DG(14:0_15:1)",547.4333,507.4408,297.2424,285.2424,211.2056,223.2056,193.1951,205.1951
"DG(30:0) DG(14:0_16:0)",563.4646,523.4721,313.2737,285.2424,211.2056,239.2369,193.1951,221.2264
"DG(30:1) DG(14:0_16:1)",561.449,521.4565,311.2581,285.2424,211.2056,237.2213,193.1951,219.2108
"DG(31:0) DG(14:0_17:0)",577.4803,537.4878,327.2894,285.2424,211.2056,253.2526,193.1951,235.2421
"DG(31:1) DG(14:0_17:1)",575.4646,535.4721,325.2737,285.2424,211.2056,251.2369,193.1951,233.2264
"DG(31:2) DG(14:0_17:2)",573.449,533.4565,323.2581,285.2424,211.2056,249.2213,193.1951,231.2108
"DG(32:0) DG(14:0_18:0)",591.4959,551.5034,341.305,285.2424,211.2056,267.2682,193.1951,249.2577
"DG(32:1) DG(14:0_18:1)",589.4803,549.4878,339.2894,285.2424,211.2056,265.2526,193.1951,247.2421
"DG(32:2) DG(14:0_18:2)",587.4646,547.4721,337.2737,285.2424,211.2056,263.2369,193.1951,245.2264
"DG(32:3) DG(14:0_18:3)",585.449,545.4565,335.2581,285.2424,211.2056,261.2213,193.1951,243.2108
"DG(32:4) DG(14:0_18:4)",583.4333,543.4408,333.2424,285.2424,211.2056,259.2056,193.1951,241.1951
"DG(33:0) DG(14:0_19:0)",605.5116,565.5191,355.3207,285.2424,211.2056,281.2839,193.1951,263.2734
"DG(34:0) DG(14:0_20:0)",619.5272,579.5347,369.3363,285.2424,211.2056,295.2995,193.1951,277.289
"DG(34:1) DG(14:0_20:1)",617.5116,577.5191,367.3207,285.2424,211.2056,293.2839,193.1951,275.2734
"DG(34:2) DG(14:0_20:2)",615.4959,575.5034,365.305,285.2424,211.2056,291.2682,193.1951,273.2577
"DG(34:3) DG(14:0_20:3)",613.4803,573.4878,363.2894,285.2424,211.2056,289.2526,193.1951,271.2421
"DG(34:4) DG(14:0_20:4)",611.4646,571.4721,361.2737,285.2424,211.2056,287.2369,193.1951,269.2264
"DG(34:5) DG(14:0_20:5)",609.449,569.4565,359.2581,285.2424,211.2056,285.2213,193.1951,267.2108
"DG(35:0) DG(14:0_21:0)",633.5429,593.5504,383.352,285.2424,211.2056,309.3152,193.1951,291.3047
"DG(36:0) DG(14:0_22:0)",647.5585,607.566,397.3676,285.2424,211.2056,323.3308,193.1951,305.3203
"DG(36:1) DG(14:0_22:1)",645.5429,605.5504,395.352,285.2424,211.2056,321.3152,193.1951,303.3047
"DG(36:2) DG(14:0_22:2)",643.5272,603.5347,393.3363,285.2424,211.2056,319.2995,193.1951,301.289
"DG(36:3) DG(14:0_22:3)",641.5116,601.5191,391.3207,285.2424,211.2056,317.2839,193.1951,299.2734
